label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.845454275608062744e-01,7.817828655242919922e-02,6.448800563812255859e-01,6.749902963638305664e-01,8.303426504135131836e-01
0.000000000000000000e+00,1.916999667882919312e-01,7.167285680770874023e-02,6.642820835113525391e-01,6.717894077301025391e-01,8.690555095672607422e-01
0.000000000000000000e+00,2.094751596450805664e-01,8.535672724246978760e-02,7.309351563453674316e-01,7.115175724029541016e-01,8.400507569313049316e-01
0.000000000000000000e+00,1.472778022289276123e-01,9.340755641460418701e-02,7.665706276893615723e-01,7.153183221817016602e-01,8.286941051483154297e-01
0.000000000000000000e+00,2.105546593666076660e-01,7.535955309867858887e-02,6.254159808158874512e-01,6.406036615371704102e-01,7.948521375656127930e-01
0.000000000000000000e+00,1.088687181472778320e-01,7.458201050758361816e-02,7.831369042396545410e-01,7.118305563926696777e-01,8.325862884521484375e-01
0.000000000000000000e+00,1.578039675951004028e-01,5.546282231807708740e-02,7.453165650367736816e-01,7.090936303138732910e-01,8.845568895339965820e-01
0.000000000000000000e+00,2.350511252880096436e-01,8.055116236209869385e-02,6.856899261474609375e-01,6.757197380065917969e-01,8.192803263664245605e-01
0.000000000000000000e+00,1.450479477643966675e-01,2.347627282142639160e-02,7.171668410301208496e-01,6.966952085494995117e-01,8.382779359817504883e-01
0.000000000000000000e+00,1.274791955947875977e-01,7.222452759742736816e-02,7.716902494430541992e-01,7.021127343177795410e-01,8.300490379333496094e-01
0.000000000000000000e+00,1.976433247327804565e-01,4.731932282447814941e-02,6.112595200538635254e-01,6.744441390037536621e-01,7.973939180374145508e-01
0.000000000000000000e+00,1.195149496197700500e-01,7.867094874382019043e-02,8.644164800643920898e-01,7.169906497001647949e-01,7.976483106613159180e-01
0.000000000000000000e+00,1.079589128494262695e-01,8.599224686622619629e-02,7.370811104774475098e-01,7.122845053672790527e-01,8.667123317718505859e-01
0.000000000000000000e+00,2.040759325027465820e-01,8.309823274612426758e-02,7.466770410537719727e-01,7.083164453506469727e-01,8.709539175033569336e-01
0.000000000000000000e+00,1.707481443881988525e-01,6.075474619865417480e-02,7.555590867996215820e-01,7.130131125450134277e-01,8.382737636566162109e-01
0.000000000000000000e+00,1.943563967943191528e-01,8.279584348201751709e-02,8.365618586540222168e-01,7.323153018951416016e-01,8.810898661613464355e-01
0.000000000000000000e+00,2.208156883716583252e-01,5.963209271430969238e-02,7.445243597030639648e-01,7.188839912414550781e-01,8.488566875457763672e-01
0.000000000000000000e+00,1.095721125602722168e-01,1.115693598985671997e-01,8.599801659584045410e-01,7.037117481231689453e-01,7.726809978485107422e-01
0.000000000000000000e+00,1.856071203947067261e-01,3.492569923400878906e-02,7.257091999053955078e-01,7.135559916496276855e-01,8.686841726303100586e-01
0.000000000000000000e+00,1.527758538722991943e-01,2.573898434638977051e-02,7.068852782249450684e-01,6.828322410583496094e-01,8.446668982505798340e-01
0.000000000000000000e+00,1.867041587829589844e-01,5.602490901947021484e-02,6.971107125282287598e-01,6.929788589477539062e-01,8.229194879531860352e-01
0.000000000000000000e+00,1.382454037666320801e-01,7.456418871879577637e-02,7.712053656578063965e-01,7.049599885940551758e-01,8.416995406150817871e-01
0.000000000000000000e+00,1.526670455932617188e-01,6.738065183162689209e-02,7.836492061614990234e-01,7.058950066566467285e-01,8.851714730262756348e-01
0.000000000000000000e+00,1.100097820162773132e-01,6.957742571830749512e-02,7.943775653839111328e-01,7.082651853561401367e-01,8.454716205596923828e-01
0.000000000000000000e+00,1.651639938354492188e-01,8.050066232681274414e-02,7.720920443534851074e-01,7.311171889305114746e-01,8.674076199531555176e-01
0.000000000000000000e+00,1.416298747062683105e-01,8.611491322517395020e-02,8.164151906967163086e-01,7.202257513999938965e-01,8.810784220695495605e-01
0.000000000000000000e+00,1.021747291088104248e-01,5.709362030029296875e-02,7.893742322921752930e-01,7.159293293952941895e-01,8.249511718750000000e-01
0.000000000000000000e+00,1.499969363212585449e-01,8.155186474323272705e-02,6.999431848526000977e-01,7.080580592155456543e-01,8.451743721961975098e-01
0.000000000000000000e+00,1.478618681430816650e-01,7.650794088840484619e-02,8.401767611503601074e-01,7.158232927322387695e-01,8.692710995674133301e-01
0.000000000000000000e+00,1.216700747609138489e-01,8.204153180122375488e-02,8.932210803031921387e-01,6.970462203025817871e-01,7.498953342437744141e-01
0.000000000000000000e+00,9.441711008548736572e-02,9.766384959220886230e-02,7.991456389427185059e-01,7.058514356613159180e-01,8.238134384155273438e-01
0.000000000000000000e+00,1.309740841388702393e-01,9.179629385471343994e-02,7.889988422393798828e-01,7.092376351356506348e-01,8.309546113014221191e-01
0.000000000000000000e+00,1.335711032152175903e-01,6.694935262203216553e-02,8.839634656906127930e-01,7.333809137344360352e-01,8.547703027725219727e-01
0.000000000000000000e+00,1.426051855087280273e-01,6.891638040542602539e-02,7.001908421516418457e-01,7.027723789215087891e-01,8.528261184692382812e-01
0.000000000000000000e+00,1.140480116009712219e-01,1.005055010318756104e-01,7.502709031105041504e-01,7.065776586532592773e-01,8.299197554588317871e-01
0.000000000000000000e+00,1.289536356925964355e-01,1.039454191923141479e-01,7.298499345779418945e-01,6.831090450286865234e-01,7.920849919319152832e-01
0.000000000000000000e+00,9.664370119571685791e-02,7.717758417129516602e-02,7.784113883972167969e-01,7.053196430206298828e-01,8.349601030349731445e-01
0.000000000000000000e+00,9.388680756092071533e-02,5.716791749000549316e-02,8.345497250556945801e-01,7.124342322349548340e-01,8.048615455627441406e-01
0.000000000000000000e+00,1.502679735422134399e-01,5.044254660606384277e-02,7.016727924346923828e-01,6.739091277122497559e-01,7.994924187660217285e-01
