label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,4.832609742879867554e-02,1.338335275650024414e-01,8.626354336738586426e-01,7.203434109687805176e-01,8.505810499191284180e-01
0.000000000000000000e+00,1.235094740986824036e-01,1.711436361074447632e-01,8.493025898933410645e-01,7.379394173622131348e-01,8.876997232437133789e-01
0.000000000000000000e+00,7.797367125749588013e-02,1.790096908807754517e-01,8.690112233161926270e-01,7.260762453079223633e-01,8.910242319107055664e-01
0.000000000000000000e+00,1.370243430137634277e-01,1.759141683578491211e-01,6.884816884994506836e-01,7.030776739120483398e-01,7.863696813583374023e-01
0.000000000000000000e+00,9.372933208942413330e-02,1.725318729877471924e-01,7.832462191581726074e-01,7.215448617935180664e-01,8.543010950088500977e-01
0.000000000000000000e+00,7.915331423282623291e-02,1.620771437883377075e-01,9.511778950691223145e-01,7.320554852485656738e-01,8.637535572052001953e-01
0.000000000000000000e+00,1.166927814483642578e-01,1.392460763454437256e-01,9.154906272888183594e-01,7.313424944877624512e-01,8.493371009826660156e-01
0.000000000000000000e+00,6.606013327836990356e-02,1.557324081659317017e-01,8.837751746177673340e-01,7.281383275985717773e-01,8.580301403999328613e-01
0.000000000000000000e+00,5.938032269477844238e-02,1.469325721263885498e-01,8.799702525138854980e-01,7.280988693237304688e-01,8.571434020996093750e-01
0.000000000000000000e+00,4.059642180800437927e-02,1.386767327785491943e-01,8.104675412178039551e-01,6.978188753128051758e-01,8.648369312286376953e-01
0.000000000000000000e+00,1.264866292476654053e-01,1.381575614213943481e-01,8.131318688392639160e-01,7.043783068656921387e-01,8.616681098937988281e-01
0.000000000000000000e+00,7.130692154169082642e-02,1.768366992473602295e-01,9.125933051109313965e-01,7.326681613922119141e-01,8.590168952941894531e-01
0.000000000000000000e+00,1.008777394890785217e-01,1.260113567113876343e-01,7.047927975654602051e-01,7.084511518478393555e-01,8.605109453201293945e-01
0.000000000000000000e+00,6.077421084046363831e-02,1.469657719135284424e-01,8.379552960395812988e-01,7.276018261909484863e-01,8.838509917259216309e-01
0.000000000000000000e+00,1.171585023403167725e-01,1.596563011407852173e-01,8.489729762077331543e-01,7.353658080101013184e-01,9.027082920074462891e-01
0.000000000000000000e+00,7.792583853006362915e-02,1.420114338397979736e-01,9.113786220550537109e-01,7.081916332244873047e-01,8.371108770370483398e-01
0.000000000000000000e+00,8.207201212644577026e-02,1.235579997301101685e-01,7.449616789817810059e-01,6.832795739173889160e-01,8.103351593017578125e-01
0.000000000000000000e+00,6.879150867462158203e-03,1.334712654352188110e-01,7.532007098197937012e-01,7.045297026634216309e-01,8.645433187484741211e-01
0.000000000000000000e+00,1.137373670935630798e-01,1.863427907228469849e-01,8.459551930427551270e-01,7.248060107231140137e-01,8.779001235961914062e-01
0.000000000000000000e+00,6.908937543630599976e-02,1.664192378520965576e-01,9.586695432662963867e-01,7.320724129676818848e-01,8.466209173202514648e-01
0.000000000000000000e+00,1.140938848257064819e-01,1.853886246681213379e-01,8.112751245498657227e-01,7.271071076393127441e-01,8.885062336921691895e-01
0.000000000000000000e+00,1.063850373029708862e-01,1.210541576147079468e-01,8.301817178726196289e-01,7.283069491386413574e-01,8.806641101837158203e-01
0.000000000000000000e+00,6.390218436717987061e-02,1.458744406700134277e-01,8.845770359039306641e-01,7.293099761009216309e-01,8.587870001792907715e-01
0.000000000000000000e+00,1.089636310935020447e-01,1.581341177225112915e-01,7.381678223609924316e-01,7.211259603500366211e-01,8.664192557334899902e-01
1.000000000000000000e+00,1.515243351459503174e-01,1.421538591384887695e-01,9.002113938331604004e-01,7.425425648689270020e-01,8.749066591262817383e-01
1.000000000000000000e+00,1.327367424964904785e-01,1.810589283704757690e-01,7.497087717056274414e-01,6.982340216636657715e-01,8.213726282119750977e-01
1.000000000000000000e+00,1.681508421897888184e-01,1.356568336486816406e-01,6.273312568664550781e-01,6.981263756752014160e-01,8.214986920356750488e-01
1.000000000000000000e+00,1.892659068107604980e-01,1.442205458879470825e-01,5.823175907135009766e-01,6.465231180191040039e-01,7.812308669090270996e-01
1.000000000000000000e+00,1.120657622814178467e-01,1.559900492429733276e-01,7.477813959121704102e-01,7.097223997116088867e-01,8.301706910133361816e-01
1.000000000000000000e+00,1.809001415967941284e-01,1.493496298789978027e-01,6.894898414611816406e-01,6.988335847854614258e-01,8.650812506675720215e-01
1.000000000000000000e+00,1.172861680388450623e-01,1.385873556137084961e-01,7.225739955902099609e-01,7.214165925979614258e-01,7.999492287635803223e-01
1.000000000000000000e+00,8.429224044084548950e-02,1.687932014465332031e-01,7.057633996009826660e-01,6.939008831977844238e-01,8.037827014923095703e-01
1.000000000000000000e+00,7.419864088296890259e-02,1.225701570510864258e-01,6.917262077331542969e-01,6.681572198867797852e-01,7.355605959892272949e-01
2.000000000000000000e+00,9.951641410589218140e-02,1.576616913080215454e-01,8.009444475173950195e-01,7.157536745071411133e-01,8.951345682144165039e-01
2.000000000000000000e+00,8.370994031429290771e-02,1.679665595293045044e-01,7.331474423408508301e-01,7.021086215972900391e-01,8.498078584671020508e-01
2.000000000000000000e+00,1.121977716684341431e-01,1.683886647224426270e-01,8.036347627639770508e-01,7.075141668319702148e-01,8.438599109649658203e-01
2.000000000000000000e+00,2.325320690870285034e-01,1.280087530612945557e-01,5.138752460479736328e-01,6.683310866355895996e-01,8.106451034545898438e-01
2.000000000000000000e+00,1.270405650138854980e-01,1.805165261030197144e-01,7.944666147232055664e-01,7.372899651527404785e-01,8.754060864448547363e-01
2.000000000000000000e+00,4.511652886867523193e-02,1.951730996370315552e-01,9.077512025833129883e-01,7.266814708709716797e-01,8.789522647857666016e-01
2.000000000000000000e+00,1.180974245071411133e-01,1.581135094165802002e-01,8.634089827537536621e-01,7.091848254203796387e-01,8.447979688644409180e-01
2.000000000000000000e+00,1.001184433698654175e-01,1.330227255821228027e-01,6.192652583122253418e-01,6.448172926902770996e-01,8.401833772659301758e-01
2.000000000000000000e+00,8.426813781261444092e-02,1.849054098129272461e-01,7.350593805313110352e-01,7.096728086471557617e-01,8.681277632713317871e-01
2.000000000000000000e+00,8.188040554523468018e-02,1.530327647924423218e-01,7.324257493019104004e-01,7.113969326019287109e-01,8.829509019851684570e-01
2.000000000000000000e+00,5.125980079174041748e-02,1.764779090881347656e-01,7.594258785247802734e-01,7.143959403038024902e-01,8.600345849990844727e-01
2.000000000000000000e+00,9.328739345073699951e-02,1.639716625213623047e-01,7.599276900291442871e-01,7.011480927467346191e-01,8.490014076232910156e-01
2.000000000000000000e+00,4.739921167492866516e-02,1.501990258693695068e-01,7.946033477783203125e-01,7.179111242294311523e-01,8.595102429389953613e-01
2.000000000000000000e+00,4.988418519496917725e-02,1.337926983833312988e-01,7.065274119377136230e-01,6.882414817810058594e-01,8.264216184616088867e-01
2.000000000000000000e+00,6.746657937765121460e-02,1.677436679601669312e-01,8.269973993301391602e-01,7.174316644668579102e-01,8.245462179183959961e-01
2.000000000000000000e+00,1.166906133294105530e-01,1.391240656375885010e-01,8.689953684806823730e-01,7.340791225433349609e-01,8.502190113067626953e-01
2.000000000000000000e+00,9.095799922943115234e-02,1.691052615642547607e-01,7.057721018791198730e-01,7.095891833305358887e-01,8.758750557899475098e-01
2.000000000000000000e+00,1.142778843641281128e-01,1.629458665847778320e-01,8.665496110916137695e-01,7.286474108695983887e-01,8.561525344848632812e-01
2.000000000000000000e+00,4.985659569501876831e-02,1.575196981430053711e-01,8.721081018447875977e-01,7.207142114639282227e-01,8.395191431045532227e-01
3.000000000000000000e+00,6.736624985933303833e-02,1.264451742172241211e-01,7.737842202186584473e-01,6.985894441604614258e-01,8.298406004905700684e-01
3.000000000000000000e+00,4.974555224180221558e-02,1.309839487075805664e-01,7.630678415298461914e-01,7.062518000602722168e-01,8.663194775581359863e-01
3.000000000000000000e+00,1.069573462009429932e-01,1.262574791908264160e-01,6.871781349182128906e-01,7.122653722763061523e-01,8.344470858573913574e-01
3.000000000000000000e+00,1.209716349840164185e-01,1.231897622346878052e-01,6.755723953247070312e-01,6.856031417846679688e-01,8.633443117141723633e-01
3.000000000000000000e+00,3.198412433266639709e-02,1.041683852672576904e-01,7.771530151367187500e-01,6.905081868171691895e-01,7.690715789794921875e-01
