label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.670341789722442627e-01,3.056004643440246582e-03,6.252152919769287109e-01,4.333800375461578369e-01,8.443654179573059082e-01
0.000000000000000000e+00,1.403999179601669312e-01,1.176097989082336426e-02,6.705272197723388672e-01,4.332917034626007080e-01,7.957344055175781250e-01
0.000000000000000000e+00,1.626269519329071045e-01,9.928941726684570312e-04,8.156546354293823242e-01,5.136585831642150879e-01,8.589265346527099609e-01
0.000000000000000000e+00,1.496141254901885986e-01,2.852250635623931885e-02,7.800227403640747070e-01,4.745722413063049316e-01,7.507030963897705078e-01
0.000000000000000000e+00,1.403772383928298950e-01,1.524853706359863281e-02,8.067852258682250977e-01,4.997821748256683350e-01,8.344066143035888672e-01
0.000000000000000000e+00,1.558172702789306641e-01,2.173796296119689941e-02,8.690217733383178711e-01,4.953190684318542480e-01,7.739245891571044922e-01
0.000000000000000000e+00,1.751475334167480469e-01,2.700090408325195312e-05,7.049152255058288574e-01,4.485605657100677490e-01,7.641704082489013672e-01
0.000000000000000000e+00,1.552273333072662354e-01,1.573896408081054688e-02,7.826009392738342285e-01,4.999668896198272705e-01,8.179419040679931641e-01
0.000000000000000000e+00,1.560851037502288818e-01,5.599513649940490723e-03,7.881289124488830566e-01,4.891540110111236572e-01,7.918751239776611328e-01
0.000000000000000000e+00,1.783164441585540771e-01,-6.367444992065429688e-03,6.593495607376098633e-01,4.039252400398254395e-01,7.343566417694091797e-01
0.000000000000000000e+00,1.814228445291519165e-01,9.918510913848876953e-03,7.752280831336975098e-01,4.961555302143096924e-01,8.280206322669982910e-01
0.000000000000000000e+00,1.386086493730545044e-01,7.941484451293945312e-03,9.532422423362731934e-01,5.175955891609191895e-01,7.570674419403076172e-01
0.000000000000000000e+00,1.504745483398437500e-01,1.704335212707519531e-02,7.599471211433410645e-01,4.859302043914794922e-01,8.084883689880371094e-01
0.000000000000000000e+00,1.971043348312377930e-01,-5.267798900604248047e-03,6.728433966636657715e-01,4.414823949337005615e-01,8.158708810806274414e-01
0.000000000000000000e+00,1.797922551631927490e-01,-4.929929971694946289e-03,8.565291762351989746e-01,5.180954933166503906e-01,8.170033693313598633e-01
0.000000000000000000e+00,1.913879513740539551e-01,-2.840608358383178711e-03,6.928376555442810059e-01,4.417974650859832764e-01,8.053603172302246094e-01
0.000000000000000000e+00,1.717801988124847412e-01,-1.004099845886230469e-03,6.898762583732604980e-01,4.224638938903808594e-01,7.312750220298767090e-01
0.000000000000000000e+00,1.217196732759475708e-01,1.794376969337463379e-02,6.305785775184631348e-01,3.517709970474243164e-01,6.807409524917602539e-01
0.000000000000000000e+00,1.838601827621459961e-01,5.170315504074096680e-03,7.248840928077697754e-01,4.461648166179656982e-01,7.649301290512084961e-01
0.000000000000000000e+00,1.705665290355682373e-01,-8.162409067153930664e-03,7.418773770332336426e-01,4.836852848529815674e-01,8.182090520858764648e-01
0.000000000000000000e+00,1.555781662464141846e-01,1.351602375507354736e-02,7.431793808937072754e-01,4.813978374004364014e-01,8.123309016227722168e-01
0.000000000000000000e+00,1.537672430276870728e-01,3.988131880760192871e-03,8.800085186958312988e-01,5.215449929237365723e-01,8.301917314529418945e-01
0.000000000000000000e+00,1.768067777156829834e-01,3.639847040176391602e-03,7.440519928932189941e-01,4.652493298053741455e-01,7.839697599411010742e-01
0.000000000000000000e+00,1.603133678436279297e-01,2.717316150665283203e-03,9.051509499549865723e-01,5.234832763671875000e-01,8.210676908493041992e-01
0.000000000000000000e+00,1.762937307357788086e-01,8.659586310386657715e-03,7.679805755615234375e-01,4.692533910274505615e-01,8.174668550491333008e-01
0.000000000000000000e+00,1.506840139627456665e-01,1.221604645252227783e-02,7.886304259300231934e-01,4.862200617790222168e-01,8.169518709182739258e-01
0.000000000000000000e+00,1.667890101671218872e-01,-1.294925808906555176e-03,8.367105722427368164e-01,4.602793157100677490e-01,7.320092320442199707e-01
0.000000000000000000e+00,2.042441070079803467e-01,-1.398442685604095459e-02,6.359726786613464355e-01,4.222567379474639893e-01,7.539556622505187988e-01
0.000000000000000000e+00,1.860150694847106934e-01,2.588018774986267090e-03,7.567977905273437500e-01,4.771267175674438477e-01,7.929211854934692383e-01
0.000000000000000000e+00,1.320098638534545898e-01,1.681086421012878418e-02,9.801793694496154785e-01,5.196606516838073730e-01,7.458397150039672852e-01
0.000000000000000000e+00,1.261827945709228516e-01,2.209152281284332275e-02,5.732907056808471680e-01,3.624230027198791504e-01,7.183782458305358887e-01
0.000000000000000000e+00,1.639229953289031982e-01,4.463970661163330078e-03,7.087225914001464844e-01,4.682293832302093506e-01,8.021887540817260742e-01
0.000000000000000000e+00,1.674759685993194580e-01,-3.346279263496398926e-03,9.387560486793518066e-01,5.329036116600036621e-01,8.160400986671447754e-01
0.000000000000000000e+00,1.475966572761535645e-01,2.206295728683471680e-03,8.843379616737365723e-01,5.184797048568725586e-01,8.088348507881164551e-01
0.000000000000000000e+00,1.659398376941680908e-01,1.874530315399169922e-02,8.079639673233032227e-01,4.885242879390716553e-01,7.945326566696166992e-01
0.000000000000000000e+00,1.716809570789337158e-01,4.605814814567565918e-03,6.873650550842285156e-01,4.241352379322052002e-01,7.413063049316406250e-01
0.000000000000000000e+00,1.490198820829391479e-01,-2.056360244750976562e-05,7.593781352043151855e-01,4.982950091361999512e-01,8.037104606628417969e-01
0.000000000000000000e+00,1.547922641038894653e-01,1.392202079296112061e-02,8.954166769981384277e-01,4.750251471996307373e-01,7.302424907684326172e-01
0.000000000000000000e+00,1.477600783109664917e-01,9.357467293739318848e-03,6.863259077072143555e-01,4.302190840244293213e-01,7.669429779052734375e-01
0.000000000000000000e+00,1.653808206319808960e-01,1.295830309391021729e-02,7.688581347465515137e-01,4.834112524986267090e-01,7.976341843605041504e-01
0.000000000000000000e+00,1.335722655057907104e-01,1.094633340835571289e-02,6.253269314765930176e-01,4.271358251571655273e-01,7.634999752044677734e-01
0.000000000000000000e+00,1.637113690376281738e-01,7.680267095565795898e-03,7.460522055625915527e-01,4.402760267257690430e-01,7.675782442092895508e-01
0.000000000000000000e+00,1.398499011993408203e-01,1.690390706062316895e-02,8.664138317108154297e-01,5.159446597099304199e-01,8.096947669982910156e-01
0.000000000000000000e+00,1.564148515462875366e-01,2.262970805168151855e-02,6.786972284317016602e-01,4.481387436389923096e-01,7.867944240570068359e-01
0.000000000000000000e+00,1.489159166812896729e-01,1.643721759319305420e-02,8.145419359207153320e-01,4.924809038639068604e-01,7.871974706649780273e-01
0.000000000000000000e+00,1.399908065795898438e-01,1.634156703948974609e-02,8.272312283515930176e-01,4.993804693222045898e-01,8.075928092002868652e-01
0.000000000000000000e+00,1.813315749168395996e-01,-9.534895420074462891e-03,7.412981986999511719e-01,4.591116309165954590e-01,8.193463683128356934e-01
0.000000000000000000e+00,1.404880583286285400e-01,1.219002902507781982e-02,6.000239253044128418e-01,3.913846015930175781e-01,7.794226408004760742e-01
0.000000000000000000e+00,1.597533524036407471e-01,-1.153810322284698486e-02,7.085490822792053223e-01,4.693625271320343018e-01,7.680999040603637695e-01
0.000000000000000000e+00,1.855166405439376831e-01,6.872415542602539062e-05,6.950091123580932617e-01,4.311463534832000732e-01,7.490000128746032715e-01
0.000000000000000000e+00,1.681874394416809082e-01,-5.646228790283203125e-03,6.294906139373779297e-01,3.796933293342590332e-01,7.337168455123901367e-01
0.000000000000000000e+00,1.668475866317749023e-01,6.557509303092956543e-03,7.716237902641296387e-01,4.892064929008483887e-01,8.134096860885620117e-01
0.000000000000000000e+00,1.853781342506408691e-01,4.492759704589843750e-03,7.615721225738525391e-01,4.840442836284637451e-01,8.258086442947387695e-01
0.000000000000000000e+00,2.074696421623229980e-01,-9.268969297409057617e-03,6.867859363555908203e-01,4.136133193969726562e-01,7.523522377014160156e-01
0.000000000000000000e+00,1.655781865119934082e-01,7.103383541107177734e-04,8.088135719299316406e-01,4.997865855693817139e-01,8.174111843109130859e-01
0.000000000000000000e+00,1.807115077972412109e-01,1.578927040100097656e-03,8.115225434303283691e-01,4.895264506340026855e-01,8.186444640159606934e-01
0.000000000000000000e+00,1.557297855615615845e-01,5.896762013435363770e-03,8.303679823875427246e-01,5.098013877868652344e-01,8.098046779632568359e-01
0.000000000000000000e+00,1.285959184169769287e-01,1.721628010272979736e-02,7.814648151397705078e-01,4.944592714309692383e-01,8.251460790634155273e-01
0.000000000000000000e+00,1.330921798944473267e-01,1.055064797401428223e-02,8.574928045272827148e-01,5.060181617736816406e-01,7.908487319946289062e-01
0.000000000000000000e+00,1.594424843788146973e-01,1.695241034030914307e-02,7.476351857185363770e-01,4.624586403369903564e-01,7.763727903366088867e-01
0.000000000000000000e+00,1.552826017141342163e-01,8.816927671432495117e-03,7.110077738761901855e-01,4.624672830104827881e-01,7.915818095207214355e-01
0.000000000000000000e+00,1.540254056453704834e-01,1.807041466236114502e-02,8.103148937225341797e-01,5.043552517890930176e-01,8.245051503181457520e-01
0.000000000000000000e+00,1.558945626020431519e-01,-6.505817174911499023e-03,9.085252285003662109e-01,5.260979533195495605e-01,8.120322227478027344e-01
0.000000000000000000e+00,1.815496981143951416e-01,-1.056681573390960693e-02,6.948893666267395020e-01,4.051630496978759766e-01,7.349226474761962891e-01
0.000000000000000000e+00,1.725427359342575073e-01,2.809643745422363281e-03,6.356944441795349121e-01,3.916001319885253906e-01,7.789129614830017090e-01
0.000000000000000000e+00,1.387210190296173096e-01,1.669178903102874756e-02,9.203618764877319336e-01,5.174431204795837402e-01,8.148359060287475586e-01
0.000000000000000000e+00,2.036038339138031006e-01,-1.711177825927734375e-02,8.063129782676696777e-01,5.052081942558288574e-01,8.355460762977600098e-01
0.000000000000000000e+00,1.737924516201019287e-01,-2.688765525817871094e-03,7.391888499259948730e-01,4.859012067317962646e-01,8.122045993804931641e-01
0.000000000000000000e+00,1.858687996864318848e-01,-6.951346993446350098e-03,7.205594778060913086e-01,4.391527771949768066e-01,7.820498943328857422e-01
0.000000000000000000e+00,1.825800687074661255e-01,-6.925672292709350586e-03,7.712811827659606934e-01,4.769901037216186523e-01,7.745963335037231445e-01
0.000000000000000000e+00,1.867121607065200806e-01,-3.741696476936340332e-03,6.683194041252136230e-01,4.470191597938537598e-01,8.218974471092224121e-01
0.000000000000000000e+00,1.581654548645019531e-01,8.693844079971313477e-03,8.807079195976257324e-01,5.055065751075744629e-01,8.046165704727172852e-01
0.000000000000000000e+00,1.505001634359359741e-01,7.443666458129882812e-03,9.170186519622802734e-01,5.264464020729064941e-01,8.202782869338989258e-01
0.000000000000000000e+00,1.529465466737747192e-01,3.732845187187194824e-03,8.032341003417968750e-01,4.717320203781127930e-01,7.826975584030151367e-01
0.000000000000000000e+00,1.913262903690338135e-01,-2.076771855354309082e-02,6.926804184913635254e-01,4.627155363559722900e-01,7.688183784484863281e-01
0.000000000000000000e+00,1.854493916034698486e-01,-1.323331892490386963e-02,5.589658021926879883e-01,3.711684346199035645e-01,6.776223778724670410e-01
0.000000000000000000e+00,1.522982120513916016e-01,6.198972463607788086e-03,7.779783606529235840e-01,4.967756569385528564e-01,8.425412178039550781e-01
0.000000000000000000e+00,1.745306998491287231e-01,-8.685410022735595703e-03,8.603485226631164551e-01,5.177417397499084473e-01,8.383350372314453125e-01
0.000000000000000000e+00,2.050720155239105225e-01,-1.688537001609802246e-02,5.841402411460876465e-01,3.675956130027770996e-01,7.508776187896728516e-01
0.000000000000000000e+00,1.344344764947891235e-01,2.358229458332061768e-02,8.556056618690490723e-01,5.134718418121337891e-01,8.157032728195190430e-01
0.000000000000000000e+00,1.669108122587203979e-01,7.536813616752624512e-03,8.359603881835937500e-01,5.040422677993774414e-01,8.374320864677429199e-01
0.000000000000000000e+00,1.648388206958770752e-01,5.679666996002197266e-03,8.517268300056457520e-01,5.112039446830749512e-01,7.978259325027465820e-01
0.000000000000000000e+00,1.874824762344360352e-01,-1.318682730197906494e-02,7.860225439071655273e-01,4.959265291690826416e-01,8.406245112419128418e-01
0.000000000000000000e+00,1.550228446722030640e-01,-1.986861228942871094e-03,8.181295394897460938e-01,5.011046528816223145e-01,8.165090084075927734e-01
0.000000000000000000e+00,1.466820240020751953e-01,2.233475446701049805e-03,9.044693708419799805e-01,5.280352830886840820e-01,8.268216848373413086e-01
0.000000000000000000e+00,1.751002073287963867e-01,-1.148679852485656738e-02,7.636977434158325195e-01,4.739934504032135010e-01,7.684462070465087891e-01
0.000000000000000000e+00,2.091366648674011230e-01,-2.451254427433013916e-02,7.447518110275268555e-01,4.733208119869232178e-01,7.895693778991699219e-01
0.000000000000000000e+00,1.174779608845710754e-01,2.154582738876342773e-02,8.745873570442199707e-01,4.935835003852844238e-01,7.417206764221191406e-01
0.000000000000000000e+00,1.649990975856781006e-01,-2.904191613197326660e-03,6.435922980308532715e-01,4.108305573463439941e-01,7.224064469337463379e-01
0.000000000000000000e+00,1.829666048288345337e-01,-9.292989969253540039e-03,6.089389324188232422e-01,3.602708876132965088e-01,7.466623783111572266e-01
0.000000000000000000e+00,1.513234972953796387e-01,1.229882240295410156e-02,7.537072300910949707e-01,4.590788483619689941e-01,7.757891416549682617e-01
0.000000000000000000e+00,1.565312445163726807e-01,-1.624408364295959473e-02,6.680079102516174316e-01,4.485443234443664551e-01,7.463339567184448242e-01
0.000000000000000000e+00,1.891620308160781860e-01,-1.526685059070587158e-02,7.740466594696044922e-01,4.485468566417694092e-01,7.635427117347717285e-01
0.000000000000000000e+00,1.590626686811447144e-01,-1.708388328552246094e-03,7.733989953994750977e-01,5.080351233482360840e-01,8.244562149047851562e-01
0.000000000000000000e+00,1.377525627613067627e-01,2.424401044845581055e-02,8.883834481239318848e-01,5.155275464057922363e-01,8.044230341911315918e-01
0.000000000000000000e+00,1.975822299718856812e-01,-1.738905906677246094e-03,7.221851944923400879e-01,4.721469581127166748e-01,8.255257010459899902e-01
0.000000000000000000e+00,1.810611784458160400e-01,-2.331545948982238770e-02,7.360534071922302246e-01,4.857537448406219482e-01,8.320147395133972168e-01
0.000000000000000000e+00,1.732513904571533203e-01,7.885381579399108887e-03,7.183151245117187500e-01,4.339475333690643311e-01,7.965036034584045410e-01
0.000000000000000000e+00,1.411775052547454834e-01,1.469224691390991211e-03,8.723826408386230469e-01,5.063372850418090820e-01,7.953011989593505859e-01
0.000000000000000000e+00,1.725995838642120361e-01,8.141249418258666992e-04,7.397218346595764160e-01,4.765850603580474854e-01,8.328564167022705078e-01
0.000000000000000000e+00,1.743266284465789795e-01,-1.086512207984924316e-02,7.910695672035217285e-01,4.947105944156646729e-01,8.068872690200805664e-01
0.000000000000000000e+00,1.760726124048233032e-01,1.547366380691528320e-03,6.915407180786132812e-01,4.466910362243652344e-01,7.903792858123779297e-01
0.000000000000000000e+00,1.754754334688186646e-01,-1.262778043746948242e-02,7.444586157798767090e-01,4.684344232082366943e-01,7.901941537857055664e-01
0.000000000000000000e+00,1.708412468433380127e-01,7.182344794273376465e-03,8.196772933006286621e-01,4.982110559940338135e-01,8.075756430625915527e-01
0.000000000000000000e+00,1.596242338418960571e-01,1.597926020622253418e-02,7.768992185592651367e-01,4.761812388896942139e-01,8.152594566345214844e-01
0.000000000000000000e+00,1.636038869619369507e-01,-6.596356630325317383e-03,8.808332085609436035e-01,5.238851308822631836e-01,8.551938533782958984e-01
0.000000000000000000e+00,1.817722618579864502e-01,-9.682297706604003906e-03,8.473948836326599121e-01,5.091499090194702148e-01,7.976493835449218750e-01
0.000000000000000000e+00,1.374469101428985596e-01,6.279528141021728516e-03,7.451258301734924316e-01,4.800550639629364014e-01,7.959802746772766113e-01
0.000000000000000000e+00,1.577654033899307251e-01,8.104667067527770996e-03,8.516600728034973145e-01,5.111808180809020996e-01,8.042594790458679199e-01
0.000000000000000000e+00,1.855664998292922974e-01,-1.489154994487762451e-02,8.115600943565368652e-01,4.874105453491210938e-01,7.974084019660949707e-01
0.000000000000000000e+00,1.725828349590301514e-01,-1.758486032485961914e-03,8.170183300971984863e-01,4.916284680366516113e-01,8.070046305656433105e-01
0.000000000000000000e+00,1.744772940874099731e-01,9.149089455604553223e-03,7.621020078659057617e-01,4.150339066982269287e-01,7.421159744262695312e-01
0.000000000000000000e+00,1.655062586069107056e-01,-5.789458751678466797e-03,6.492232084274291992e-01,4.015993475914001465e-01,7.498611211776733398e-01
0.000000000000000000e+00,1.467355042695999146e-01,2.509671449661254883e-02,8.317831754684448242e-01,4.906691908836364746e-01,7.599116563796997070e-01
0.000000000000000000e+00,1.736391484737396240e-01,8.333578705787658691e-03,7.451945543289184570e-01,4.645003080368041992e-01,7.898842692375183105e-01
0.000000000000000000e+00,1.871222257614135742e-01,-3.238648176193237305e-03,7.483244538307189941e-01,4.806315898895263672e-01,7.971005439758300781e-01
0.000000000000000000e+00,1.580597460269927979e-01,9.130686521530151367e-04,6.725456118583679199e-01,4.025044739246368408e-01,7.091844081878662109e-01
0.000000000000000000e+00,1.575397849082946777e-01,1.544833183288574219e-03,8.460487127304077148e-01,5.113483071327209473e-01,8.083705902099609375e-01
0.000000000000000000e+00,1.945655345916748047e-01,-1.912561058998107910e-02,6.508138179779052734e-01,3.977040052413940430e-01,7.502317428588867188e-01
0.000000000000000000e+00,1.513230502605438232e-01,-5.502700805664062500e-04,8.627987504005432129e-01,5.066035985946655273e-01,7.797456979751586914e-01
0.000000000000000000e+00,1.664728820323944092e-01,-1.004494726657867432e-02,8.531643748283386230e-01,5.110793113708496094e-01,8.140164613723754883e-01
0.000000000000000000e+00,1.784469783306121826e-01,1.852333545684814453e-03,6.580903530120849609e-01,4.152819514274597168e-01,7.576491832733154297e-01
0.000000000000000000e+00,1.930056810379028320e-01,-1.362660527229309082e-02,8.561623096466064453e-01,5.232191681861877441e-01,8.394554853439331055e-01
0.000000000000000000e+00,1.664744913578033447e-01,-3.032490611076354980e-03,7.639310359954833984e-01,4.832104444503784180e-01,8.325417041778564453e-01
0.000000000000000000e+00,1.779909133911132812e-01,-1.174804568290710449e-02,7.574092149734497070e-01,4.783396720886230469e-01,8.068585395812988281e-01
0.000000000000000000e+00,1.841125488281250000e-01,-8.925795555114746094e-04,7.669231295585632324e-01,4.545248150825500488e-01,7.586574554443359375e-01
0.000000000000000000e+00,1.408694088459014893e-01,-2.035930752754211426e-03,7.447899580001831055e-01,4.891205132007598877e-01,7.859787940979003906e-01
0.000000000000000000e+00,1.171971186995506287e-01,1.172250509262084961e-02,9.348441362380981445e-01,5.272617936134338379e-01,7.985877394676208496e-01
0.000000000000000000e+00,1.534088701009750366e-01,1.255819201469421387e-02,7.473542094230651855e-01,4.475941061973571777e-01,7.491108179092407227e-01
0.000000000000000000e+00,1.465664356946945190e-01,2.415071427822113037e-02,8.016836643218994141e-01,4.810044765472412109e-01,7.606060504913330078e-01
1.000000000000000000e+00,7.248700410127639771e-02,5.761423707008361816e-02,8.723188042640686035e-01,5.376703143119812012e-01,8.777729868888854980e-01
1.000000000000000000e+00,5.424106121063232422e-02,5.753177404403686523e-02,9.882135391235351562e-01,5.514264106750488281e-01,8.721958398818969727e-01
1.000000000000000000e+00,7.904348522424697876e-02,8.670648932456970215e-02,8.525856733322143555e-01,5.351963043212890625e-01,8.609825372695922852e-01
1.000000000000000000e+00,6.851631402969360352e-02,7.005850970745086670e-02,9.214547872543334961e-01,5.429559350013732910e-01,8.702017068862915039e-01
1.000000000000000000e+00,7.808145880699157715e-02,6.557834148406982422e-02,9.229825735092163086e-01,5.464951992034912109e-01,8.668662309646606445e-01
1.000000000000000000e+00,5.431013926863670349e-02,6.369081139564514160e-02,8.581719994544982910e-01,5.353317260742187500e-01,8.764491081237792969e-01
1.000000000000000000e+00,8.860684186220169067e-02,7.349783182144165039e-02,9.555484652519226074e-01,5.520089864730834961e-01,8.783580064773559570e-01
1.000000000000000000e+00,7.401742041110992432e-02,6.780478358268737793e-02,8.747308254241943359e-01,5.358434915542602539e-01,8.687695860862731934e-01
1.000000000000000000e+00,6.459882110357284546e-02,6.835862994194030762e-02,9.482676386833190918e-01,5.398681163787841797e-01,8.584831953048706055e-01
1.000000000000000000e+00,4.873973876237869263e-02,6.088306009769439697e-02,8.840462565422058105e-01,5.310922265052795410e-01,8.661595582962036133e-01
1.000000000000000000e+00,8.723714947700500488e-02,6.674966216087341309e-02,9.234894514083862305e-01,5.423542261123657227e-01,8.696460723876953125e-01
1.000000000000000000e+00,6.890358030796051025e-02,7.416751980781555176e-02,8.300342559814453125e-01,5.212432742118835449e-01,8.263816833496093750e-01
1.000000000000000000e+00,7.562803477048873901e-02,5.416873097419738770e-02,9.467282891273498535e-01,5.440776944160461426e-01,8.729759454727172852e-01
1.000000000000000000e+00,7.551272213459014893e-02,6.454201042652130127e-02,8.766733407974243164e-01,5.327337384223937988e-01,8.423897027969360352e-01
1.000000000000000000e+00,1.023447960615158081e-01,4.563972353935241699e-02,9.401799440383911133e-01,5.452876687049865723e-01,8.560272455215454102e-01
1.000000000000000000e+00,7.674726843833923340e-02,5.276046693325042725e-02,8.486253619194030762e-01,5.283018946647644043e-01,8.624647259712219238e-01
1.000000000000000000e+00,7.353548705577850342e-02,6.420664489269256592e-02,9.197812676429748535e-01,5.385034680366516113e-01,8.690247535705566406e-01
1.000000000000000000e+00,5.610883235931396484e-02,7.624831795692443848e-02,9.498127102851867676e-01,5.459636449813842773e-01,8.679604530334472656e-01
1.000000000000000000e+00,7.931160926818847656e-02,7.596144080162048340e-02,8.851599693298339844e-01,5.392819046974182129e-01,8.701512813568115234e-01
1.000000000000000000e+00,4.321305453777313232e-02,7.163473963737487793e-02,8.974069356918334961e-01,5.219277739524841309e-01,8.345423936843872070e-01
1.000000000000000000e+00,3.614638000726699829e-02,6.869868934154510498e-02,8.816631436347961426e-01,5.345613956451416016e-01,8.691446185111999512e-01
1.000000000000000000e+00,6.762559711933135986e-02,5.995072424411773682e-02,8.209285736083984375e-01,5.335585474967956543e-01,8.640720844268798828e-01
1.000000000000000000e+00,6.951288133859634399e-02,6.361407041549682617e-02,8.993138670921325684e-01,5.360326170921325684e-01,8.462834954261779785e-01
1.000000000000000000e+00,6.522039324045181274e-02,5.892425775527954102e-02,9.084040522575378418e-01,5.422186851501464844e-01,8.784198164939880371e-01
1.000000000000000000e+00,9.006098657846450806e-02,6.666725873947143555e-02,9.323897361755371094e-01,5.556408166885375977e-01,8.881953954696655273e-01
1.000000000000000000e+00,8.599803596735000610e-02,4.682028293609619141e-02,8.791700005531311035e-01,5.335201621055603027e-01,8.808405995368957520e-01
1.000000000000000000e+00,8.202230930328369141e-02,6.991577148437500000e-02,9.720361828804016113e-01,5.554794669151306152e-01,8.765243291854858398e-01
1.000000000000000000e+00,7.431447505950927734e-02,7.177840173244476318e-02,9.184136390686035156e-01,5.429296493530273438e-01,8.578507900238037109e-01
1.000000000000000000e+00,7.504181563854217529e-02,7.714846730232238770e-02,9.129505157470703125e-01,5.434609055519104004e-01,8.688187003135681152e-01
1.000000000000000000e+00,7.759400457143783569e-02,6.597384810447692871e-02,8.852801918983459473e-01,5.446563959121704102e-01,8.751499652862548828e-01
1.000000000000000000e+00,8.075188100337982178e-02,6.162092089653015137e-02,9.287777543067932129e-01,5.365092158317565918e-01,8.585226535797119141e-01
1.000000000000000000e+00,4.344234243035316467e-02,6.517520546913146973e-02,7.432956695556640625e-01,5.043289661407470703e-01,8.065581917762756348e-01
1.000000000000000000e+00,8.308103680610656738e-02,7.381987571716308594e-02,9.604172706604003906e-01,5.523665547370910645e-01,8.819962739944458008e-01
1.000000000000000000e+00,6.783307343721389771e-02,8.032934367656707764e-02,9.662500023841857910e-01,5.454940795898437500e-01,8.761929273605346680e-01
1.000000000000000000e+00,8.763312548398971558e-02,6.459796428680419922e-02,8.491052389144897461e-01,5.408568978309631348e-01,8.744108676910400391e-01
1.000000000000000000e+00,7.636402547359466553e-02,8.007739484310150146e-02,8.908315896987915039e-01,5.378571748733520508e-01,8.471955060958862305e-01
1.000000000000000000e+00,5.947539955377578735e-02,6.572592258453369141e-02,8.895594477653503418e-01,5.298470854759216309e-01,8.416789770126342773e-01
1.000000000000000000e+00,6.811415404081344604e-02,6.600835919380187988e-02,8.884056210517883301e-01,5.434312820434570312e-01,8.850795030593872070e-01
1.000000000000000000e+00,9.331910312175750732e-02,4.511699080467224121e-02,7.954472303390502930e-01,5.133159160614013672e-01,8.553837537765502930e-01
