label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.048833578824996948e-01,1.153465211391448975e-01,8.413620591163635254e-01,2.530753314495086670e-01,7.940313816070556641e-01
0.000000000000000000e+00,1.223051548004150391e-01,9.160450100898742676e-02,6.895518898963928223e-01,2.662390172481536865e-01,7.827969193458557129e-01
0.000000000000000000e+00,1.366462856531143188e-01,1.097551286220550537e-01,6.427807211875915527e-01,2.523381114006042480e-01,8.288713097572326660e-01
0.000000000000000000e+00,5.410749465227127075e-02,8.701170980930328369e-02,6.136535406112670898e-01,1.706927865743637085e-01,6.374143958091735840e-01
0.000000000000000000e+00,1.451144218444824219e-01,1.018677055835723877e-01,5.806000828742980957e-01,2.216279357671737671e-01,7.816628217697143555e-01
0.000000000000000000e+00,4.311826080083847046e-02,1.137549132108688354e-01,9.847196340560913086e-01,2.596943974494934082e-01,7.973415851593017578e-01
0.000000000000000000e+00,2.742903307080268860e-03,1.204136013984680176e-01,8.999686837196350098e-01,2.395129501819610596e-01,7.575768232345581055e-01
0.000000000000000000e+00,4.491602629423141479e-02,1.293216198682785034e-01,9.109490513801574707e-01,2.745644152164459229e-01,8.037276268005371094e-01
0.000000000000000000e+00,4.087496176362037659e-02,1.344930529594421387e-01,9.064226746559143066e-01,2.719652652740478516e-01,8.338927030563354492e-01
0.000000000000000000e+00,1.516709029674530029e-01,1.069959402084350586e-01,4.935313165187835693e-01,1.750729382038116455e-01,7.597017288208007812e-01
0.000000000000000000e+00,1.141092479228973389e-01,9.145340323448181152e-02,5.684115886688232422e-01,2.341395765542984009e-01,7.804550528526306152e-01
0.000000000000000000e+00,5.434865504503250122e-02,9.000575542449951172e-02,8.342549204826354980e-01,2.559982240200042725e-01,7.727723717689514160e-01
0.000000000000000000e+00,1.162718683481216431e-01,1.078700125217437744e-01,5.985587835311889648e-01,2.345229834318161011e-01,8.100844621658325195e-01
0.000000000000000000e+00,9.341489523649215698e-02,7.721678912639617920e-02,6.526280045509338379e-01,2.469599545001983643e-01,7.950815558433532715e-01
0.000000000000000000e+00,8.566094189882278442e-02,1.019061356782913208e-01,7.714065313339233398e-01,2.342566549777984619e-01,8.441896438598632812e-01
0.000000000000000000e+00,8.349159359931945801e-02,1.080427765846252441e-01,8.451772332191467285e-01,2.397699654102325439e-01,7.721590995788574219e-01
0.000000000000000000e+00,7.745987921953201294e-02,7.635866105556488037e-02,6.843485236167907715e-01,1.897963881492614746e-01,6.732677221298217773e-01
0.000000000000000000e+00,9.340257197618484497e-02,9.437866508960723877e-02,5.400182604789733887e-01,1.838018149137496948e-01,7.855517268180847168e-01
0.000000000000000000e+00,1.170736625790596008e-01,7.914429903030395508e-02,5.686160922050476074e-01,2.105048894882202148e-01,7.612691521644592285e-01
0.000000000000000000e+00,5.708868429064750671e-02,1.220068037509918213e-01,9.520618915557861328e-01,2.685707509517669678e-01,8.301396369934082031e-01
0.000000000000000000e+00,1.364517211914062500e-01,1.027660071849822998e-01,6.023996472358703613e-01,2.126615345478057861e-01,7.997931838035583496e-01
0.000000000000000000e+00,1.069685518741607666e-01,9.538415074348449707e-02,8.877450227737426758e-01,2.633246779441833496e-01,8.085735440254211426e-01
0.000000000000000000e+00,5.953370034694671631e-02,1.267925798892974854e-01,8.883593082427978516e-01,2.741131186485290527e-01,7.754976749420166016e-01
0.000000000000000000e+00,1.002491936087608337e-01,9.743742644786834717e-02,6.494365334510803223e-01,2.489070296287536621e-01,7.997992634773254395e-01
1.000000000000000000e+00,9.128364920616149902e-02,1.179249286651611328e-01,8.601149916648864746e-01,2.464451491832733154e-01,7.964031696319580078e-01
1.000000000000000000e+00,1.241286285221576691e-02,1.463029980659484863e-01,7.229781150817871094e-01,1.644255518913269043e-01,7.579883337020874023e-01
1.000000000000000000e+00,8.432143181562423706e-02,7.882988452911376953e-02,4.966667294502258301e-01,1.593000888824462891e-01,7.309884428977966309e-01
1.000000000000000000e+00,1.218497753143310547e-01,7.652398943901062012e-02,4.759628474712371826e-01,1.484532654285430908e-01,7.196591496467590332e-01
1.000000000000000000e+00,-6.561218295246362686e-03,1.429928541183471680e-01,8.277013897895812988e-01,1.795340329408645630e-01,6.937254071235656738e-01
1.000000000000000000e+00,4.499800503253936768e-02,1.225060075521469116e-01,6.345538496971130371e-01,1.896322965621948242e-01,8.146896362304687500e-01
1.000000000000000000e+00,-2.987013384699821472e-02,8.633267879486083984e-02,6.444866061210632324e-01,1.775901615619659424e-01,7.447994947433471680e-01
1.000000000000000000e+00,2.407841384410858154e-04,1.139264106750488281e-01,6.978366374969482422e-01,1.257728934288024902e-01,6.921927332878112793e-01
1.000000000000000000e+00,-4.469271749258041382e-03,1.038880646228790283e-01,6.908408999443054199e-01,1.778217405080795288e-01,7.039074897766113281e-01
2.000000000000000000e+00,3.619757294654846191e-02,1.009170264005661011e-01,7.770164012908935547e-01,2.177075594663619995e-01,8.106397390365600586e-01
2.000000000000000000e+00,3.741291910409927368e-02,1.148740351200103760e-01,7.417292594909667969e-01,1.903854906558990479e-01,7.781850695610046387e-01
2.000000000000000000e+00,1.891906931996345520e-02,1.186308413743972778e-01,8.984236121177673340e-01,2.331684976816177368e-01,7.944614887237548828e-01
2.000000000000000000e+00,1.560032963752746582e-01,5.213133990764617920e-02,5.007144808769226074e-01,1.904105544090270996e-01,7.708857059478759766e-01
2.000000000000000000e+00,1.142155081033706665e-01,1.191198527812957764e-01,7.810518145561218262e-01,2.514218688011169434e-01,7.977232933044433594e-01
2.000000000000000000e+00,3.911656886339187622e-02,1.323270797729492188e-01,9.419056773185729980e-01,2.489799708127975464e-01,8.044780492782592773e-01
2.000000000000000000e+00,2.288443036377429962e-02,1.069200634956359863e-01,9.184259176254272461e-01,2.353395968675613403e-01,7.658736705780029297e-01
2.000000000000000000e+00,1.691259443759918213e-01,6.772252917289733887e-02,5.200529694557189941e-01,1.835304349660873413e-01,7.216370105743408203e-01
2.000000000000000000e+00,1.852855086326599121e-03,1.006013154983520508e-01,6.929795742034912109e-01,1.708232164382934570e-01,7.384251356124877930e-01
2.000000000000000000e+00,1.770025119185447693e-02,5.976146459579467773e-02,7.115552425384521484e-01,2.105225771665573120e-01,7.833091616630554199e-01
2.000000000000000000e+00,7.824584096670150757e-02,9.573388099670410156e-02,7.887818813323974609e-01,2.042814642190933228e-01,7.886823415756225586e-01
2.000000000000000000e+00,5.654314905405044556e-02,1.161140352487564087e-01,8.569817543029785156e-01,1.989691108465194702e-01,7.193949222564697266e-01
2.000000000000000000e+00,3.510329127311706543e-02,1.330768764019012451e-01,8.643712401390075684e-01,2.104031294584274292e-01,7.713221311569213867e-01
2.000000000000000000e+00,4.854530841112136841e-02,9.322497248649597168e-02,7.949683666229248047e-01,2.140853554010391235e-01,7.870880365371704102e-01
2.000000000000000000e+00,2.091371268033981323e-02,1.002257615327835083e-01,8.535017967224121094e-01,2.403739392757415771e-01,7.792114615440368652e-01
2.000000000000000000e+00,1.143496632575988770e-01,5.353121459484100342e-02,6.791908740997314453e-01,2.327736765146255493e-01,7.740238904953002930e-01
2.000000000000000000e+00,1.197120621800422668e-01,1.033052951097488403e-01,5.453922748565673828e-01,1.900019794702529907e-01,7.756769061088562012e-01
2.000000000000000000e+00,2.449731528759002686e-02,1.243838220834732056e-01,9.122859835624694824e-01,2.398910373449325562e-01,7.914783954620361328e-01
2.000000000000000000e+00,1.045615449547767639e-01,1.347468197345733643e-01,7.659922242164611816e-01,2.362594604492187500e-01,7.534543275833129883e-01
3.000000000000000000e+00,4.634886234998703003e-02,1.550897657871246338e-01,7.634056210517883301e-01,1.596744805574417114e-01,7.538231611251831055e-01
3.000000000000000000e+00,4.085864871740341187e-03,1.504563093185424805e-01,7.770845293998718262e-01,1.765657812356948853e-01,7.939772605895996094e-01
3.000000000000000000e+00,8.829198777675628662e-02,6.858974695205688477e-02,6.424820423126220703e-01,2.223587781190872192e-01,7.636858224868774414e-01
3.000000000000000000e+00,1.488493680953979492e-01,6.208629906177520752e-02,5.979341268539428711e-01,2.208378911018371582e-01,7.706313133239746094e-01
3.000000000000000000e+00,6.340751051902770996e-02,7.586437463760375977e-02,6.533640623092651367e-01,2.166080474853515625e-01,7.596875429153442383e-01
3.000000000000000000e+00,9.458887577056884766e-02,7.287482917308807373e-02,5.491041541099548340e-01,2.004089206457138062e-01,8.009302616119384766e-01
3.000000000000000000e+00,7.118723541498184204e-02,6.162643432617187500e-02,6.622046828269958496e-01,2.502093017101287842e-01,7.757118344306945801e-01
3.000000000000000000e+00,8.357569575309753418e-02,1.104106903076171875e-01,8.623374104499816895e-01,2.906077802181243896e-01,8.214396238327026367e-01
3.000000000000000000e+00,9.104774892330169678e-02,7.018212974071502686e-02,5.583099126815795898e-01,1.728322058916091919e-01,6.886601448059082031e-01
3.000000000000000000e+00,9.141996502876281738e-02,7.240228354930877686e-02,5.143463611602783203e-01,1.806133538484573364e-01,8.130845427513122559e-01
3.000000000000000000e+00,1.194027811288833618e-01,8.408105373382568359e-02,5.964170098304748535e-01,2.159920185804367065e-01,8.131225705146789551e-01
3.000000000000000000e+00,1.106918081641197205e-01,9.492319822311401367e-02,6.463147401809692383e-01,2.210360765457153320e-01,8.065096139907836914e-01
3.000000000000000000e+00,1.011069267988204956e-01,7.232716679573059082e-02,5.321416854858398438e-01,1.761128604412078857e-01,7.790683507919311523e-01
