method,ASR,target_margin_mean,target_logit_mean,total
original_backdoor,99.2358,10.667031,28.283160,916
remove_mean,0.9825,-9.037476,18.676873,916
remove_pca1,99.2358,9.476392,26.763339,916
remove_pca3,99.1266,9.360543,26.746657,916
remove_pca5,98.2533,8.210613,27.372271,916
remove_pca10,90.5022,4.988750,25.936332,916
remove_mean_pca1,0.5459,-9.776431,18.792926,916
remove_mean_pca3,0.5459,-10.123738,18.534645,916
remove_mean_pca5,1.2009,-9.831937,18.688754,916
remove_mean_pca10,0.6550,-10.113042,18.413875,916
remove_random1,99.3450,10.709479,28.340884,916
remove_random3,99.3450,10.652548,28.230486,916
remove_random5,99.1266,10.597324,28.402617,916
remove_random10,98.9083,9.762717,27.637913,916
