method,ASR,target_margin_mean,target_logit_mean,total
original_backdoor,92.1397,5.340782,26.406907,916
keep_mean,89.1921,4.481057,25.716592,916
keep_pca1,18.7773,-2.990541,20.463590,916
keep_pca3,27.4017,-1.957364,22.434506,916
keep_pca5,27.4017,-1.835579,22.644437,916
keep_pca10,67.0306,1.396646,24.705351,916
keep_mean_pca1,89.9563,4.509433,25.707236,916
keep_mean_pca3,89.4105,4.498687,25.439308,916
keep_mean_pca5,90.0655,4.526201,25.585579,916
keep_mean_pca10,88.8646,4.430327,25.727569,916
keep_random1,9.9345,-4.313686,19.483147,916
keep_random3,9.4978,-4.377081,19.516094,916
keep_random5,9.4978,-4.339426,19.501893,916
keep_random10,12.9913,-3.821609,19.253940,916
