label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.533997952938079834e-01,8.038899302482604980e-02,5.670074820518493652e-01,4.234243035316467285e-01,8.368012309074401855e-01
0.000000000000000000e+00,1.108361780643463135e-01,8.579213917255401611e-02,5.661884546279907227e-01,4.209517836570739746e-01,8.277751207351684570e-01
0.000000000000000000e+00,1.748581230640411377e-01,7.084655761718750000e-02,6.036176681518554688e-01,4.180850684642791748e-01,7.874488830566406250e-01
0.000000000000000000e+00,1.484589427709579468e-01,8.783082664012908936e-02,6.693935990333557129e-01,4.604752063751220703e-01,7.950885295867919922e-01
0.000000000000000000e+00,1.541711091995239258e-01,7.692384719848632812e-02,5.507694482803344727e-01,3.857236504554748535e-01,7.904771566390991211e-01
0.000000000000000000e+00,1.320323050022125244e-01,7.229195535182952881e-02,6.681697368621826172e-01,4.446728825569152832e-01,7.617970705032348633e-01
0.000000000000000000e+00,1.190497353672981262e-01,6.264932453632354736e-02,5.331129431724548340e-01,4.137185811996459961e-01,8.209900259971618652e-01
0.000000000000000000e+00,2.529919743537902832e-01,2.728208899497985840e-02,5.508785843849182129e-01,3.081097304821014404e-01,6.448416709899902344e-01
0.000000000000000000e+00,1.294634789228439331e-01,2.557945251464843750e-02,5.893320441246032715e-01,4.050485193729400635e-01,7.932782173156738281e-01
0.000000000000000000e+00,1.322380602359771729e-01,6.576210260391235352e-02,6.123380064964294434e-01,4.118926823139190674e-01,7.372672557830810547e-01
0.000000000000000000e+00,1.538879573345184326e-01,3.181999921798706055e-02,5.717966556549072266e-01,3.802482485771179199e-01,7.628791928291320801e-01
0.000000000000000000e+00,1.741728484630584717e-01,6.252786517143249512e-02,5.958362817764282227e-01,3.866099119186401367e-01,7.305238246917724609e-01
0.000000000000000000e+00,1.535470485687255859e-01,7.799166440963745117e-02,6.073452234268188477e-01,4.183648526668548584e-01,7.921970486640930176e-01
0.000000000000000000e+00,2.414940893650054932e-01,4.758371412754058838e-02,5.352474451065063477e-01,3.665198385715484619e-01,7.697569131851196289e-01
0.000000000000000000e+00,1.453436613082885742e-01,5.215245485305786133e-02,6.510062217712402344e-01,4.218971133232116699e-01,7.656858563423156738e-01
0.000000000000000000e+00,1.793696284294128418e-01,7.537028193473815918e-02,6.458855271339416504e-01,4.375280439853668213e-01,8.019522428512573242e-01
0.000000000000000000e+00,1.524246484041213989e-01,4.607582092285156250e-02,6.198078989982604980e-01,4.508885443210601807e-01,7.963860630989074707e-01
0.000000000000000000e+00,1.182927638292312622e-01,1.059028804302215576e-01,6.779639124870300293e-01,4.272543489933013916e-01,7.100083827972412109e-01
0.000000000000000000e+00,1.788545697927474976e-01,3.732301294803619385e-02,5.926821827888488770e-01,4.344088435173034668e-01,8.229070305824279785e-01
0.000000000000000000e+00,1.208516508340835571e-01,4.013469815254211426e-02,5.610387921333312988e-01,4.038771092891693115e-01,8.327859044075012207e-01
0.000000000000000000e+00,1.442745476961135864e-01,4.392877221107482910e-02,6.286867260932922363e-01,4.012449979782104492e-01,7.570689916610717773e-01
0.000000000000000000e+00,1.450151503086090088e-01,6.275218725204467773e-02,6.029818654060363770e-01,4.076749980449676514e-01,7.815228104591369629e-01
0.000000000000000000e+00,1.113906279206275940e-01,6.557115912437438965e-02,5.960588455200195312e-01,4.224207103252410889e-01,8.231248855590820312e-01
0.000000000000000000e+00,1.397201716899871826e-01,5.455088615417480469e-02,5.957243442535400391e-01,4.049193859100341797e-01,7.706527709960937500e-01
0.000000000000000000e+00,1.326722055673599243e-01,6.184014678001403809e-02,6.542606353759765625e-01,4.691465497016906738e-01,8.075302243232727051e-01
0.000000000000000000e+00,1.290432512760162354e-01,8.615316450595855713e-02,6.409062147140502930e-01,4.672068357467651367e-01,8.024268150329589844e-01
0.000000000000000000e+00,1.108382716774940491e-01,6.098930537700653076e-02,6.701472401618957520e-01,4.408627748489379883e-01,7.403442859649658203e-01
0.000000000000000000e+00,1.741835623979568481e-01,5.240356922149658203e-02,5.834127068519592285e-01,4.222588539123535156e-01,7.898296117782592773e-01
0.000000000000000000e+00,1.503700613975524902e-01,7.151718437671661377e-02,6.685537099838256836e-01,4.586954414844512939e-01,8.056090474128723145e-01
0.000000000000000000e+00,1.219051927328109741e-01,6.162096560001373291e-02,7.693280577659606934e-01,4.356009066104888916e-01,6.645317077636718750e-01
0.000000000000000000e+00,1.350897550582885742e-01,9.337487816810607910e-02,6.093345880508422852e-01,4.168021976947784424e-01,7.596536874771118164e-01
0.000000000000000000e+00,1.669542938470840454e-01,7.991743087768554688e-02,6.127040386199951172e-01,4.218116402626037598e-01,7.544891834259033203e-01
0.000000000000000000e+00,1.190357506275177002e-01,6.934304535388946533e-02,6.268009543418884277e-01,4.542525410652160645e-01,8.136147260665893555e-01
0.000000000000000000e+00,1.413408815860748291e-01,5.559316277503967285e-02,5.749837160110473633e-01,4.214338064193725586e-01,8.286691904067993164e-01
0.000000000000000000e+00,1.362681090831756592e-01,6.598937511444091797e-02,6.447049379348754883e-01,4.344713687896728516e-01,7.719064950942993164e-01
0.000000000000000000e+00,1.420705914497375488e-01,9.903812408447265625e-02,6.570398211479187012e-01,4.377334415912628174e-01,7.449346780776977539e-01
0.000000000000000000e+00,9.194337576627731323e-02,6.159168481826782227e-02,6.948439478874206543e-01,4.359095692634582520e-01,7.637851238250732422e-01
0.000000000000000000e+00,1.155147626996040344e-01,5.591316521167755127e-02,7.069903016090393066e-01,4.332169294357299805e-01,7.088949084281921387e-01
0.000000000000000000e+00,1.776784062385559082e-01,4.101946949958801270e-02,5.882514119148254395e-01,4.256612062454223633e-01,7.936468124389648438e-01
0.000000000000000000e+00,1.743269860744476318e-01,3.074990212917327881e-02,6.238712668418884277e-01,4.331969320774078369e-01,7.990731000900268555e-01
0.000000000000000000e+00,1.245138049125671387e-01,5.979464948177337646e-02,5.769017934799194336e-01,4.073723256587982178e-01,7.491065263748168945e-01
