label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,9.157115221023559570e-02,9.356907010078430176e-02,6.866820454597473145e-01,4.381948411464691162e-01,8.546163439750671387e-01
0.000000000000000000e+00,1.408643722534179688e-01,1.140228211879730225e-01,7.582394480705261230e-01,5.036234259605407715e-01,8.941894769668579102e-01
0.000000000000000000e+00,8.038724958896636963e-02,1.180627197027206421e-01,7.546253800392150879e-01,4.764434993267059326e-01,8.944207429885864258e-01
0.000000000000000000e+00,1.338469386100769043e-01,1.308349668979644775e-01,6.492563486099243164e-01,4.300328791141510010e-01,8.108313679695129395e-01
0.000000000000000000e+00,1.050609871745109558e-01,1.115071177482604980e-01,6.948500275611877441e-01,4.622297286987304688e-01,8.822984099388122559e-01
0.000000000000000000e+00,1.192202866077423096e-01,1.265975385904312134e-01,7.514772415161132812e-01,4.970116019248962402e-01,9.102312326431274414e-01
0.000000000000000000e+00,1.559308618307113647e-01,9.634472429752349854e-02,7.507399916648864746e-01,4.969241321086883545e-01,8.698470592498779297e-01
0.000000000000000000e+00,8.878047019243240356e-02,9.992635250091552734e-02,6.805490255355834961e-01,4.578670263290405273e-01,8.896237611770629883e-01
0.000000000000000000e+00,1.142947226762771606e-01,1.096053421497344971e-01,6.397269368171691895e-01,4.615086019039154053e-01,8.874027132987976074e-01
0.000000000000000000e+00,7.195279747247695923e-02,9.468188881874084473e-02,5.734643340110778809e-01,4.244365990161895752e-01,9.000983238220214844e-01
0.000000000000000000e+00,1.684944331645965576e-01,1.143194884061813354e-01,6.413752436637878418e-01,4.508533775806427002e-01,8.566144704818725586e-01
0.000000000000000000e+00,6.524437665939331055e-02,1.207902133464813232e-01,7.512605190277099609e-01,4.664633870124816895e-01,8.842512965202331543e-01
0.000000000000000000e+00,9.670725464820861816e-02,1.078758835792541504e-01,6.604598164558410645e-01,4.664930105209350586e-01,8.879713416099548340e-01
0.000000000000000000e+00,9.286972880363464355e-02,9.505347907543182373e-02,7.153189778327941895e-01,4.736776649951934814e-01,8.943634629249572754e-01
0.000000000000000000e+00,1.469596326351165771e-01,1.153416335582733154e-01,5.816633105278015137e-01,4.481645822525024414e-01,9.280616044998168945e-01
0.000000000000000000e+00,7.290363311767578125e-02,8.761225640773773193e-02,7.517903447151184082e-01,4.442353844642639160e-01,8.635309934616088867e-01
0.000000000000000000e+00,9.760703891515731812e-02,9.672173857688903809e-02,7.127382159233093262e-01,4.452494978904724121e-01,8.416131138801574707e-01
0.000000000000000000e+00,6.270957738161087036e-02,9.600688517093658447e-02,6.217328310012817383e-01,4.352877438068389893e-01,8.993821144104003906e-01
0.000000000000000000e+00,9.450060874223709106e-02,1.330345869064331055e-01,6.824019551277160645e-01,4.566257894039154053e-01,8.930060863494873047e-01
0.000000000000000000e+00,1.049239337444305420e-01,1.237798035144805908e-01,7.257552146911621094e-01,4.796110093593597412e-01,8.666121363639831543e-01
0.000000000000000000e+00,1.115851998329162598e-01,1.176045089960098267e-01,6.985446214675903320e-01,4.905278682708740234e-01,8.894285559654235840e-01
0.000000000000000000e+00,1.312116086483001709e-01,8.312347531318664551e-02,7.047472000122070312e-01,4.773880541324615479e-01,8.979380130767822266e-01
0.000000000000000000e+00,8.414260298013687134e-02,1.015157401561737061e-01,7.272286415100097656e-01,4.573062360286712646e-01,8.563145995140075684e-01
0.000000000000000000e+00,1.002761721611022949e-01,1.012556105852127075e-01,6.975660920143127441e-01,4.661760032176971436e-01,8.941249847412109375e-01
1.000000000000000000e+00,1.938271522521972656e-01,9.563732147216796875e-02,7.362691760063171387e-01,5.172029733657836914e-01,8.888534307479858398e-01
1.000000000000000000e+00,1.681674718856811523e-01,1.250728964805603027e-01,5.845123529434204102e-01,4.174945354461669922e-01,8.028225898742675781e-01
1.000000000000000000e+00,2.572694420814514160e-01,7.480026781558990479e-02,4.386989176273345947e-01,2.844846844673156738e-01,7.434399127960205078e-01
1.000000000000000000e+00,1.966811567544937134e-01,1.045089960098266602e-01,4.692681133747100830e-01,3.449697196483612061e-01,8.006212711334228516e-01
1.000000000000000000e+00,2.038986682891845703e-01,1.066097617149353027e-01,6.057725548744201660e-01,4.668878614902496338e-01,8.447082638740539551e-01
1.000000000000000000e+00,2.925933301448822021e-01,6.468088924884796143e-02,4.741927683353424072e-01,3.563892543315887451e-01,8.214218616485595703e-01
1.000000000000000000e+00,2.083611488342285156e-01,8.129861950874328613e-02,6.332029104232788086e-01,4.684308767318725586e-01,7.834960818290710449e-01
1.000000000000000000e+00,1.594074070453643799e-01,1.149515360593795776e-01,5.949336290359497070e-01,4.526671767234802246e-01,8.340481519699096680e-01
1.000000000000000000e+00,1.293191015720367432e-01,7.278315722942352295e-02,5.815208554267883301e-01,4.059141576290130615e-01,7.722176313400268555e-01
2.000000000000000000e+00,1.228341609239578247e-01,9.959103167057037354e-02,6.529342532157897949e-01,4.836431741714477539e-01,9.067904949188232422e-01
2.000000000000000000e+00,1.737782210111618042e-01,1.036020666360855103e-01,5.502362847328186035e-01,4.354122579097747803e-01,8.761875033378601074e-01
2.000000000000000000e+00,1.559021472930908203e-01,7.598547637462615967e-02,6.069687604904174805e-01,4.506488442420959473e-01,8.364473581314086914e-01
2.000000000000000000e+00,2.171112447977066040e-01,6.409983336925506592e-02,4.063381254673004150e-01,2.554667294025421143e-01,7.859338521957397461e-01
2.000000000000000000e+00,1.528642475605010986e-01,1.150757819414138794e-01,6.928074359893798828e-01,4.944250583648681641e-01,8.649315237998962402e-01
2.000000000000000000e+00,1.369431912899017334e-01,9.328866004943847656e-02,6.522715687751770020e-01,4.830123782157897949e-01,8.501151204109191895e-01
2.000000000000000000e+00,1.528694927692413330e-01,1.117009222507476807e-01,6.534203290939331055e-01,4.793587923049926758e-01,8.563699126243591309e-01
2.000000000000000000e+00,1.236326247453689575e-01,1.050615608692169189e-01,5.229181051254272461e-01,3.815062940120697021e-01,8.204575181007385254e-01
2.000000000000000000e+00,1.109903156757354736e-01,1.258357167243957520e-01,6.352853775024414062e-01,4.693368375301361084e-01,8.832523822784423828e-01
2.000000000000000000e+00,1.453146040439605713e-01,8.815866708755493164e-02,5.899497866630554199e-01,4.706945717334747314e-01,8.809746503829956055e-01
2.000000000000000000e+00,1.587012410163879395e-01,1.049648225307464600e-01,5.765962600708007812e-01,4.768736064434051514e-01,8.984936475753784180e-01
2.000000000000000000e+00,1.811785548925399780e-01,1.005670875310897827e-01,5.564434528350830078e-01,4.398739933967590332e-01,8.629260063171386719e-01
2.000000000000000000e+00,1.150149703025817871e-01,9.115384519100189209e-02,6.798757314682006836e-01,4.938986897468566895e-01,8.703526854515075684e-01
