label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.500093042850494385e-01,7.425040006637573242e-02,5.328052639961242676e-01,1.666302978992462158e-01,7.732129693031311035e-01
0.000000000000000000e+00,1.134648546576499939e-01,7.971788942813873291e-02,5.247663259506225586e-01,1.511461436748504639e-01,7.898805141448974609e-01
0.000000000000000000e+00,1.245865151286125183e-01,7.321725785732269287e-02,6.193884611129760742e-01,2.105403989553451538e-01,7.944778800010681152e-01
0.000000000000000000e+00,7.955826818943023682e-02,9.650434553623199463e-02,6.639463901519775391e-01,1.878768950700759888e-01,7.867003083229064941e-01
0.000000000000000000e+00,1.228965520858764648e-01,7.400132715702056885e-02,5.681790113449096680e-01,1.780752241611480713e-01,7.797035574913024902e-01
0.000000000000000000e+00,6.828175485134124756e-02,6.515395641326904297e-02,7.453672289848327637e-01,1.961017996072769165e-01,7.554107904434204102e-01
0.000000000000000000e+00,9.974826872348785400e-02,7.518869638442993164e-02,5.403151512145996094e-01,1.629082262516021729e-01,7.829673886299133301e-01
0.000000000000000000e+00,1.917488723993301392e-01,5.500832200050354004e-02,5.663657188415527344e-01,1.213579624891281128e-01,6.083916425704956055e-01
0.000000000000000000e+00,7.309783995151519775e-02,2.845333516597747803e-02,7.027737498283386230e-01,2.063626796007156372e-01,7.610085606575012207e-01
0.000000000000000000e+00,9.586419165134429932e-02,5.166243016719818115e-02,6.338548064231872559e-01,1.835442930459976196e-01,7.269195318222045898e-01
0.000000000000000000e+00,1.546592563390731812e-01,3.232289850711822510e-02,5.549758076667785645e-01,1.746080666780471802e-01,7.456284761428833008e-01
0.000000000000000000e+00,7.131700962781906128e-02,6.876088678836822510e-02,7.098058462142944336e-01,1.839846074581146240e-01,7.563183903694152832e-01
0.000000000000000000e+00,9.920252114534378052e-02,6.463858485221862793e-02,6.707412004470825195e-01,1.953987926244735718e-01,7.928846478462219238e-01
0.000000000000000000e+00,1.406473219394683838e-01,5.661401152610778809e-02,6.094723939895629883e-01,1.617361009120941162e-01,7.741820812225341797e-01
0.000000000000000000e+00,8.352419734001159668e-02,5.620461702346801758e-02,7.359701991081237793e-01,2.132319808006286621e-01,7.703990936279296875e-01
0.000000000000000000e+00,1.095376387238502502e-01,8.092975616455078125e-02,7.694302201271057129e-01,2.086310237646102905e-01,8.080999851226806641e-01
0.000000000000000000e+00,1.163804680109024048e-01,7.204544544219970703e-02,6.229639053344726562e-01,2.092053443193435669e-01,7.764747142791748047e-01
0.000000000000000000e+00,4.161028936505317688e-02,9.757839143276214600e-02,7.043516039848327637e-01,1.636293977499008179e-01,6.692159771919250488e-01
0.000000000000000000e+00,1.089936047792434692e-01,4.780369997024536133e-02,6.669176220893859863e-01,2.126842141151428223e-01,8.120175600051879883e-01
0.000000000000000000e+00,1.032534837722778320e-01,5.554461479187011719e-02,5.473437309265136719e-01,1.795597076416015625e-01,7.909123301506042480e-01
0.000000000000000000e+00,1.267347931861877441e-01,4.674892127513885498e-02,6.402773261070251465e-01,1.820839792490005493e-01,7.534866333007812500e-01
0.000000000000000000e+00,1.266431510448455811e-01,5.820855498313903809e-02,6.161165237426757812e-01,1.909252852201461792e-01,7.683970928192138672e-01
0.000000000000000000e+00,6.676149368286132812e-02,7.528032362461090088e-02,6.693691611289978027e-01,1.821473091840744019e-01,8.023936748504638672e-01
0.000000000000000000e+00,9.490714967250823975e-02,5.933403968811035156e-02,6.670042276382446289e-01,1.963777691125869751e-01,7.742066383361816406e-01
0.000000000000000000e+00,9.826461970806121826e-02,6.535461544990539551e-02,7.055238485336303711e-01,2.149757891893386841e-01,7.982163429260253906e-01
0.000000000000000000e+00,6.374068558216094971e-02,7.833008468151092529e-02,6.847932338714599609e-01,2.149498909711837769e-01,8.209903836250305176e-01
0.000000000000000000e+00,5.872259289026260376e-02,5.869875848293304443e-02,7.699704766273498535e-01,2.141768634319305420e-01,7.416332960128784180e-01
0.000000000000000000e+00,1.229921579360961914e-01,6.197780370712280273e-02,6.695323586463928223e-01,1.874229758977890015e-01,7.725617885589599609e-01
0.000000000000000000e+00,1.032454967498779297e-01,7.983151078224182129e-02,7.829568982124328613e-01,2.231192439794540405e-01,8.198083639144897461e-01
0.000000000000000000e+00,8.978129923343658447e-02,6.692883372306823730e-02,7.784810066223144531e-01,1.813768297433853149e-01,6.493630409240722656e-01
0.000000000000000000e+00,1.075764745473861694e-01,7.485537230968475342e-02,6.406071782112121582e-01,1.718955487012863159e-01,7.384815812110900879e-01
0.000000000000000000e+00,8.732809871435165405e-02,6.986759603023529053e-02,7.099166512489318848e-01,1.973985135555267334e-01,7.649037837982177734e-01
0.000000000000000000e+00,5.115644633769989014e-02,6.517694890499114990e-02,7.407505512237548828e-01,2.108597308397293091e-01,7.734255194664001465e-01
0.000000000000000000e+00,8.655513823032379150e-02,5.978408455848693848e-02,6.551145911216735840e-01,2.041888236999511719e-01,8.069316744804382324e-01
0.000000000000000000e+00,8.579713106155395508e-02,8.153277635574340820e-02,6.453356146812438965e-01,1.706301867961883545e-01,7.357375621795654297e-01
0.000000000000000000e+00,1.071985363960266113e-01,9.981037676334381104e-02,6.378837227821350098e-01,1.680629849433898926e-01,6.942973136901855469e-01
0.000000000000000000e+00,5.184476077556610107e-02,7.116159796714782715e-02,7.402326464653015137e-01,2.109787762165069580e-01,7.645679712295532227e-01
0.000000000000000000e+00,5.211263895034790039e-02,6.320819258689880371e-02,8.123428821563720703e-01,1.918137371540069580e-01,7.066987752914428711e-01
0.000000000000000000e+00,1.100369840860366821e-01,4.799267649650573730e-02,5.817069411277770996e-01,1.796619594097137451e-01,7.288913130760192871e-01
0.000000000000000000e+00,1.149678155779838562e-01,4.052735865116119385e-02,6.924433708190917969e-01,2.097208052873611450e-01,8.015877008438110352e-01
0.000000000000000000e+00,1.008806303143501282e-01,4.484857618808746338e-02,6.437323689460754395e-01,1.880276501178741455e-01,6.972273588180541992e-01
0.000000000000000000e+00,4.975778609514236450e-02,9.799817204475402832e-02,7.468556761741638184e-01,1.915456950664520264e-01,7.793109416961669922e-01
0.000000000000000000e+00,1.057302057743072510e-01,7.160548865795135498e-02,6.725417971611022949e-01,1.708866506814956665e-01,7.664273977279663086e-01
0.000000000000000000e+00,1.147668734192848206e-01,8.242374658584594727e-02,6.572449207305908203e-01,1.908541470766067505e-01,7.929726839065551758e-01
0.000000000000000000e+00,5.698305368423461914e-02,6.848609447479248047e-02,7.376872897148132324e-01,2.195599973201751709e-01,7.076309323310852051e-01
0.000000000000000000e+00,2.261726744472980499e-02,1.027085781097412109e-01,7.321387529373168945e-01,2.168890237808227539e-01,7.674585580825805664e-01
0.000000000000000000e+00,1.107065379619598389e-01,9.829950332641601562e-02,6.719946861267089844e-01,2.067865729331970215e-01,7.971941828727722168e-01
0.000000000000000000e+00,1.294378042221069336e-01,7.542684674263000488e-02,5.461701154708862305e-01,1.440391838550567627e-01,7.633824944496154785e-01
0.000000000000000000e+00,8.047619462013244629e-02,8.133570849895477295e-02,6.361419558525085449e-01,1.893586516380310059e-01,7.152584791183471680e-01
0.000000000000000000e+00,6.428532302379608154e-02,8.677940070629119873e-02,6.247934103012084961e-01,1.691391617059707642e-01,7.364115118980407715e-01
0.000000000000000000e+00,1.145336180925369263e-01,8.845074474811553955e-02,6.674435138702392578e-01,1.670174300670623779e-01,8.017357587814331055e-01
0.000000000000000000e+00,6.474560499191284180e-02,3.676006197929382324e-02,6.577708721160888672e-01,1.916384696960449219e-01,7.644153237342834473e-01
0.000000000000000000e+00,6.372515112161636353e-02,8.797511458396911621e-02,7.437431216239929199e-01,2.162426263093948364e-01,8.171041607856750488e-01
0.000000000000000000e+00,7.867777347564697266e-02,4.786615073680877686e-02,6.791132688522338867e-01,2.212222814559936523e-01,7.571696043014526367e-01
0.000000000000000000e+00,1.070210039615631104e-01,9.119570255279541016e-02,6.855518817901611328e-01,1.937451064586639404e-01,7.894558906555175781e-01
0.000000000000000000e+00,8.438082784414291382e-02,7.765635848045349121e-02,5.975095033645629883e-01,1.843635141849517822e-01,7.535666227340698242e-01
0.000000000000000000e+00,1.048184260725975037e-01,4.593512415885925293e-02,6.773735284805297852e-01,1.958303898572921753e-01,7.624895572662353516e-01
0.000000000000000000e+00,1.013488098978996277e-01,8.028917014598846436e-02,6.874930262565612793e-01,1.983028352260589600e-01,8.326454758644104004e-01
0.000000000000000000e+00,4.976085200905799866e-02,8.514225482940673828e-02,6.788110136985778809e-01,1.952055692672729492e-01,8.136979341506958008e-01
0.000000000000000000e+00,8.269895613193511963e-02,5.466957390308380127e-02,7.284354567527770996e-01,1.905141472816467285e-01,7.556649446487426758e-01
0.000000000000000000e+00,1.415717005729675293e-01,6.057396531105041504e-02,5.664505362510681152e-01,1.710402369499206543e-01,7.561206221580505371e-01
0.000000000000000000e+00,1.123379766941070557e-01,3.832903504371643066e-02,6.628826260566711426e-01,1.820868700742721558e-01,7.502660751342773438e-01
0.000000000000000000e+00,1.128514111042022705e-01,6.585770845413208008e-02,6.498306393623352051e-01,1.913761943578720093e-01,7.213078141212463379e-01
0.000000000000000000e+00,9.166619181632995605e-02,6.532484292984008789e-02,6.957089304924011230e-01,1.966865658760070801e-01,7.424739599227905273e-01
0.000000000000000000e+00,1.503095626831054688e-01,7.164715230464935303e-02,4.855163097381591797e-01,1.144205331802368164e-01,7.097772359848022461e-01
0.000000000000000000e+00,8.943173289299011230e-02,4.859834909439086914e-02,7.043415904045104980e-01,2.113768160343170166e-01,7.850388288497924805e-01
0.000000000000000000e+00,8.088935911655426025e-02,4.445697367191314697e-02,6.199981570243835449e-01,2.200919687747955322e-01,7.841970324516296387e-01
0.000000000000000000e+00,4.950273782014846802e-02,7.005055248737335205e-02,7.202821969985961914e-01,2.179601937532424927e-01,8.167581558227539062e-01
0.000000000000000000e+00,1.075895056128501892e-01,8.509990572929382324e-02,7.885919213294982910e-01,2.036282420158386230e-01,7.928763031959533691e-01
0.000000000000000000e+00,1.242442578077316284e-01,3.769516944885253906e-02,7.178723812103271484e-01,2.280376553535461426e-01,8.273546695709228516e-01
0.000000000000000000e+00,1.145433112978935242e-01,6.842777132987976074e-02,5.707824826240539551e-01,1.582642495632171631e-01,7.525324821472167969e-01
0.000000000000000000e+00,5.742491781711578369e-02,4.562476277351379395e-02,7.642830610275268555e-01,2.002433389425277710e-01,7.797940969467163086e-01
0.000000000000000000e+00,9.598401933908462524e-02,4.079616069793701172e-02,7.057712674140930176e-01,2.025139182806015015e-01,7.646517753601074219e-01
0.000000000000000000e+00,7.773690670728683472e-02,5.544739961624145508e-02,6.098901629447937012e-01,1.961434930562973022e-01,7.611727714538574219e-01
0.000000000000000000e+00,1.512756943702697754e-01,5.972380936145782471e-02,5.329487323760986328e-01,1.557708680629730225e-01,7.091565132141113281e-01
0.000000000000000000e+00,1.116902083158493042e-01,8.880497515201568604e-02,5.900145769119262695e-01,1.617268472909927368e-01,7.427973747253417969e-01
