label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,6.825245916843414307e-02,8.363166451454162598e-02,7.708854079246520996e-01,2.042701393365859985e-01,8.384411334991455078e-01
0.000000000000000000e+00,6.755638122558593750e-02,1.204029470682144165e-01,7.898821234703063965e-01,2.408007979393005371e-01,8.873238563537597656e-01
0.000000000000000000e+00,3.549787774682044983e-02,1.181589961051940918e-01,7.688534855842590332e-01,2.374470084905624390e-01,8.834502696990966797e-01
0.000000000000000000e+00,1.244151443243026733e-01,1.266203373670578003e-01,6.127079129219055176e-01,1.713547259569168091e-01,7.703123092651367188e-01
0.000000000000000000e+00,7.960660010576248169e-02,1.114374697208404541e-01,6.702716946601867676e-01,1.945801228284835815e-01,8.593602180480957031e-01
0.000000000000000000e+00,6.102295592427253723e-02,1.099483072757720947e-01,8.810871243476867676e-01,2.509053349494934082e-01,8.562336564064025879e-01
0.000000000000000000e+00,7.647593319416046143e-02,9.796917438507080078e-02,8.454654812812805176e-01,2.577445209026336670e-01,8.501800298690795898e-01
0.000000000000000000e+00,4.087066277861595154e-02,1.003933250904083252e-01,7.535480856895446777e-01,2.249552160501480103e-01,8.813343048095703125e-01
0.000000000000000000e+00,4.811082035303115845e-02,9.115670621395111084e-02,8.001660704612731934e-01,2.319037765264511108e-01,8.504500389099121094e-01
0.000000000000000000e+00,4.736835882067680359e-02,9.220886230468750000e-02,6.121830344200134277e-01,1.965187489986419678e-01,8.843144178390502930e-01
0.000000000000000000e+00,1.145235076546669006e-01,9.568659961223602295e-02,6.511030793190002441e-01,2.057954221963882446e-01,8.390052318572998047e-01
0.000000000000000000e+00,5.267021432518959045e-02,1.274205148220062256e-01,7.719642519950866699e-01,2.316691279411315918e-01,8.840950727462768555e-01
0.000000000000000000e+00,4.023222625255584717e-02,1.014561057090759277e-01,6.364121437072753906e-01,1.970060318708419800e-01,8.662867546081542969e-01
0.000000000000000000e+00,5.917686969041824341e-02,9.840281307697296143e-02,7.088598012924194336e-01,2.353284806013107300e-01,8.863550424575805664e-01
0.000000000000000000e+00,9.247655421495437622e-02,1.131484508514404297e-01,7.161392569541931152e-01,2.226358652114868164e-01,9.041936993598937988e-01
0.000000000000000000e+00,4.787894710898399353e-02,9.679779410362243652e-02,8.452948331832885742e-01,2.129195779561996460e-01,8.228501677513122559e-01
0.000000000000000000e+00,5.382595583796501160e-02,1.001780629158020020e-01,6.905276179313659668e-01,1.982791125774383545e-01,8.147127032279968262e-01
0.000000000000000000e+00,2.350986376404762268e-02,7.632413506507873535e-02,6.473786830902099609e-01,2.105704396963119507e-01,8.833303451538085938e-01
0.000000000000000000e+00,6.393076479434967041e-02,1.468116343021392822e-01,7.543499469757080078e-01,2.258293777704238892e-01,8.916220068931579590e-01
0.000000000000000000e+00,5.630460381507873535e-02,1.167869567871093750e-01,8.896190524101257324e-01,2.387447953224182129e-01,8.357793688774108887e-01
0.000000000000000000e+00,6.058090180158615112e-02,1.160156130790710449e-01,6.988605260848999023e-01,2.476649433374404907e-01,8.758841753005981445e-01
0.000000000000000000e+00,8.416617661714553833e-02,7.963691651821136475e-02,7.767693996429443359e-01,2.212482690811157227e-01,8.659467101097106934e-01
0.000000000000000000e+00,3.472695872187614441e-02,9.923967719078063965e-02,7.964985370635986328e-01,2.213861942291259766e-01,8.507573008537292480e-01
0.000000000000000000e+00,8.717718720436096191e-02,9.515459835529327393e-02,6.779472827911376953e-01,2.046633511781692505e-01,8.671665191650390625e-01
1.000000000000000000e+00,1.223902478814125061e-01,9.346309304237365723e-02,8.051203489303588867e-01,2.522606551647186279e-01,8.863442540168762207e-01
1.000000000000000000e+00,6.630475074052810669e-02,1.319559961557388306e-01,6.819541454315185547e-01,1.902443915605545044e-01,8.301668763160705566e-01
1.000000000000000000e+00,1.341069936752319336e-01,9.485542774200439453e-02,5.040386319160461426e-01,1.540750414133071899e-01,7.902890443801879883e-01
1.000000000000000000e+00,1.016138792037963867e-01,1.090583652257919312e-01,5.316179394721984863e-01,1.653710752725601196e-01,8.183122277259826660e-01
1.000000000000000000e+00,9.373994916677474976e-02,8.418139815330505371e-02,6.699788570404052734e-01,2.237465381622314453e-01,8.449772596359252930e-01
1.000000000000000000e+00,1.484684050083160400e-01,7.794165611267089844e-02,6.225777864456176758e-01,2.083586305379867554e-01,8.816651105880737305e-01
1.000000000000000000e+00,1.725071966648101807e-01,5.643406510353088379e-02,6.150328516960144043e-01,2.008655369281768799e-01,7.010621428489685059e-01
1.000000000000000000e+00,6.628913432359695435e-02,1.068576425313949585e-01,6.383412480354309082e-01,2.029685974121093750e-01,8.263597488403320312e-01
