label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,6.329235434532165527e-02,8.997344970703125000e-02,5.534373521804809570e-01,1.357579380273818970e-01,7.787376642227172852e-01
0.000000000000000000e+00,7.687473297119140625e-02,9.571477770805358887e-02,5.095943212509155273e-01,1.262861639261245728e-01,7.923724651336669922e-01
0.000000000000000000e+00,1.230429485440254211e-02,9.805878996849060059e-02,6.313821077346801758e-01,1.568716168403625488e-01,7.941040992736816406e-01
0.000000000000000000e+00,5.586322396993637085e-02,1.157062500715255737e-01,6.975546479225158691e-01,1.735256016254425049e-01,7.991588115692138672e-01
0.000000000000000000e+00,3.982307016849517822e-02,9.617823362350463867e-02,5.737904310226440430e-01,1.365838348865509033e-01,7.873057126998901367e-01
0.000000000000000000e+00,5.565788596868515015e-02,6.908568739891052246e-02,7.536835670471191406e-01,1.645344644784927368e-01,7.547642588615417480e-01
0.000000000000000000e+00,4.609643667936325073e-02,8.676725625991821289e-02,5.260730385780334473e-01,1.210153624415397644e-01,7.808045148849487305e-01
0.000000000000000000e+00,1.464787870645523071e-01,9.253747761249542236e-02,5.708185434341430664e-01,1.239430680871009827e-01,6.648949980735778809e-01
0.000000000000000000e+00,5.159998685121536255e-02,5.396926403045654297e-02,7.243866920471191406e-01,1.506297439336776733e-01,7.601256370544433594e-01
0.000000000000000000e+00,4.542325437068939209e-02,5.975997447967529297e-02,6.442149877548217773e-01,1.578186452388763428e-01,7.308501601219177246e-01
0.000000000000000000e+00,7.306557893753051758e-02,4.940843582153320312e-02,5.709477663040161133e-01,1.364946961402893066e-01,7.457576394081115723e-01
0.000000000000000000e+00,4.675918072462081909e-02,6.338718533515930176e-02,6.614674925804138184e-01,1.453193426132202148e-01,7.489840984344482422e-01
0.000000000000000000e+00,3.467494621872901917e-02,7.958088815212249756e-02,7.024523019790649414e-01,1.702557206153869629e-01,7.930102348327636719e-01
0.000000000000000000e+00,1.104983985424041748e-01,6.965056061744689941e-02,5.699223279953002930e-01,1.369333863258361816e-01,7.335374951362609863e-01
0.000000000000000000e+00,1.136743463575839996e-02,6.361985206604003906e-02,7.506188154220581055e-01,1.542132794857025146e-01,7.734593152999877930e-01
0.000000000000000000e+00,4.710629582405090332e-02,1.026004105806350708e-01,7.519394755363464355e-01,1.704310178756713867e-01,8.169071674346923828e-01
0.000000000000000000e+00,6.972520053386688232e-02,8.542227745056152344e-02,6.327394247055053711e-01,1.570854634046554565e-01,7.909685373306274414e-01
0.000000000000000000e+00,1.615998148918151855e-02,9.143456816673278809e-02,6.953960061073303223e-01,1.495554298162460327e-01,6.546005606651306152e-01
0.000000000000000000e+00,3.490591049194335938e-02,8.277210593223571777e-02,6.687171459197998047e-01,1.538217067718505859e-01,8.219441175460815430e-01
0.000000000000000000e+00,8.330013602972030640e-02,6.734767556190490723e-02,5.492534041404724121e-01,1.373322755098342896e-01,7.987847924232482910e-01
0.000000000000000000e+00,3.951593115925788879e-02,6.359982490539550781e-02,6.829555630683898926e-01,1.496916562318801880e-01,7.563185691833496094e-01
0.000000000000000000e+00,6.330978125333786011e-02,7.903386652469635010e-02,5.944674611091613770e-01,1.383706033229827881e-01,7.614405751228332520e-01
0.000000000000000000e+00,3.451069444417953491e-02,9.055013954639434814e-02,6.748198270797729492e-01,1.480343490839004517e-01,8.114155530929565430e-01
0.000000000000000000e+00,2.887780778110027313e-02,6.998574733734130859e-02,7.214732766151428223e-01,1.423866599798202515e-01,7.688933014869689941e-01
0.000000000000000000e+00,4.757573455572128296e-02,8.098092675209045410e-02,7.085223197937011719e-01,1.644254773855209351e-01,7.975480556488037109e-01
0.000000000000000000e+00,2.042655088007450104e-02,8.733522891998291016e-02,6.987156867980957031e-01,1.811315864324569702e-01,8.199402093887329102e-01
0.000000000000000000e+00,4.527682811021804810e-02,4.823705554008483887e-02,7.807168364524841309e-01,1.690355241298675537e-01,7.443749904632568359e-01
0.000000000000000000e+00,4.232191294431686401e-02,7.144549489021301270e-02,6.931322813034057617e-01,1.520807147026062012e-01,7.673545479774475098e-01
0.000000000000000000e+00,3.014187887310981750e-02,9.176851809024810791e-02,7.823081612586975098e-01,1.819906383752822876e-01,8.166117668151855469e-01
0.000000000000000000e+00,6.949634104967117310e-02,7.009878754615783691e-02,7.768779993057250977e-01,1.431706845760345459e-01,6.275227069854736328e-01
0.000000000000000000e+00,5.355738848447799683e-02,8.392199873924255371e-02,6.348382234573364258e-01,1.513118743896484375e-01,7.480549812316894531e-01
0.000000000000000000e+00,4.284457117319107056e-02,8.474071323871612549e-02,6.763523221015930176e-01,1.657246947288513184e-01,7.713758945465087891e-01
0.000000000000000000e+00,3.279145434498786926e-02,8.053582906723022461e-02,7.654824256896972656e-01,1.793424338102340698e-01,7.887053489685058594e-01
0.000000000000000000e+00,6.239018589258193970e-02,6.469061970710754395e-02,6.390469074249267578e-01,1.652594059705734253e-01,8.029958009719848633e-01
0.000000000000000000e+00,7.142423093318939209e-02,8.886516094207763672e-02,6.443563103675842285e-01,1.385903805494308472e-01,7.405090332031250000e-01
0.000000000000000000e+00,8.587652444839477539e-02,1.021544635295867920e-01,6.474252343177795410e-01,1.426431089639663696e-01,6.916669011116027832e-01
0.000000000000000000e+00,1.842782646417617798e-02,7.800656557083129883e-02,7.314136624336242676e-01,1.715629994869232178e-01,7.554398775100708008e-01
0.000000000000000000e+00,5.066605657339096069e-02,6.028193235397338867e-02,8.121615052223205566e-01,1.548989266157150269e-01,7.105254530906677246e-01
0.000000000000000000e+00,9.021849930286407471e-02,4.526141285896301270e-02,5.568749308586120605e-01,1.314035207033157349e-01,7.403795123100280762e-01
0.000000000000000000e+00,7.832604646682739258e-02,7.056406140327453613e-02,6.375749111175537109e-01,1.541288346052169800e-01,8.001683950424194336e-01
0.000000000000000000e+00,1.526673324406147003e-02,6.944027543067932129e-02,6.163985729217529297e-01,1.382317095994949341e-01,7.101577520370483398e-01
0.000000000000000000e+00,4.498218744993209839e-02,1.107746660709381104e-01,7.235317230224609375e-01,1.615561693906784058e-01,7.866191864013671875e-01
0.000000000000000000e+00,6.760145723819732666e-02,8.456110954284667969e-02,6.646496057510375977e-01,1.403681933879852295e-01,7.692655324935913086e-01
0.000000000000000000e+00,5.706458166241645813e-02,1.021637916564941406e-01,6.568374037742614746e-01,1.686249226331710815e-01,7.984824180603027344e-01
0.000000000000000000e+00,5.890135094523429871e-02,5.828686058521270752e-02,7.629250884056091309e-01,1.848812252283096313e-01,7.105951905250549316e-01
0.000000000000000000e+00,3.722492977976799011e-02,1.016898751258850098e-01,7.476484179496765137e-01,1.766310632228851318e-01,7.579736113548278809e-01
0.000000000000000000e+00,7.172466814517974854e-02,9.871476888656616211e-02,6.790785193443298340e-01,1.694673597812652588e-01,8.117628097534179688e-01
0.000000000000000000e+00,5.794298276305198669e-02,9.680277109146118164e-02,5.680357813835144043e-01,1.451279968023300171e-01,7.724777460098266602e-01
0.000000000000000000e+00,1.847347430884838104e-02,8.164462447166442871e-02,6.432595252990722656e-01,1.509018093347549438e-01,7.180289030075073242e-01
0.000000000000000000e+00,4.961516335606575012e-02,1.025944948196411133e-01,6.337997317314147949e-01,1.467142999172210693e-01,7.382298707962036133e-01
0.000000000000000000e+00,4.482714831829071045e-02,1.108676791191101074e-01,6.996116638183593750e-01,1.576362997293472290e-01,8.086398243904113770e-01
0.000000000000000000e+00,2.114502526819705963e-02,4.988002777099609375e-02,6.672333478927612305e-01,1.466986835002899170e-01,7.719784975051879883e-01
0.000000000000000000e+00,-2.381654456257820129e-03,9.611046314239501953e-02,7.278125882148742676e-01,1.751884669065475464e-01,8.148293495178222656e-01
0.000000000000000000e+00,4.372214525938034058e-02,4.042042791843414307e-02,7.026206851005554199e-01,1.643673628568649292e-01,7.515186667442321777e-01
0.000000000000000000e+00,4.693089798092842102e-02,9.750699996948242188e-02,6.938092708587646484e-01,1.483608335256576538e-01,7.787139415740966797e-01
