label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,-5.718616768717765808e-03,1.172117441892623901e-01,7.313010096549987793e-01,1.786600798368453979e-01,8.592034578323364258e-01
0.000000000000000000e+00,1.279309019446372986e-02,1.532368957996368408e-01,7.672889828681945801e-01,2.167709469795227051e-01,8.903518915176391602e-01
0.000000000000000000e+00,-1.312945783138275146e-02,1.481775045394897461e-01,7.588981389999389648e-01,2.127554863691329956e-01,8.863730430603027344e-01
0.000000000000000000e+00,5.824393033981323242e-02,1.440333724021911621e-01,6.229131817817687988e-01,1.383471786975860596e-01,7.778967022895812988e-01
0.000000000000000000e+00,3.651481866836547852e-02,1.397401690483093262e-01,6.837100386619567871e-01,1.824539452791213989e-01,8.704801797866821289e-01
0.000000000000000000e+00,-1.996554806828498840e-02,1.431260406970977783e-01,8.871811032295227051e-01,2.089683562517166138e-01,8.593963384628295898e-01
0.000000000000000000e+00,-1.272406615316867828e-02,1.330150216817855835e-01,8.529059290885925293e-01,2.146267294883728027e-01,8.564927577972412109e-01
0.000000000000000000e+00,-5.694293975830078125e-02,1.278605312108993530e-01,7.448780536651611328e-01,1.817746162414550781e-01,8.808115124702453613e-01
0.000000000000000000e+00,-1.105300616472959518e-02,1.115991473197937012e-01,7.994143366813659668e-01,1.917520314455032349e-01,8.460860252380371094e-01
0.000000000000000000e+00,-1.392277888953685760e-02,1.153060793876647949e-01,6.174818277359008789e-01,1.623397320508956909e-01,8.710927367210388184e-01
0.000000000000000000e+00,1.147075816988945007e-01,1.217761039733886719e-01,6.453065276145935059e-01,1.845430284738540649e-01,8.420066833496093750e-01
0.000000000000000000e+00,-2.076982520520687103e-03,1.609601676464080811e-01,7.741886377334594727e-01,2.046112865209579468e-01,8.826222419738769531e-01
0.000000000000000000e+00,-3.660032525658607483e-03,1.355341076850891113e-01,6.601266860961914062e-01,1.844630688428878784e-01,8.762053847312927246e-01
0.000000000000000000e+00,-4.552323371171951294e-03,1.188668459653854370e-01,7.221723198890686035e-01,2.082940042018890381e-01,8.909671902656555176e-01
