label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,-3.068296983838081360e-02,5.773514509201049805e-03,4.769630134105682373e-01,1.590334326028823853e-01,7.141885757446289062e-01
0.000000000000000000e+00,-2.108281105756759644e-02,3.072148561477661133e-02,5.385860204696655273e-01,2.753774225711822510e-01,8.060042858123779297e-01
0.000000000000000000e+00,2.188722416758537292e-02,-5.851626396179199219e-03,5.723029375076293945e-01,2.701856493949890137e-01,7.509185075759887695e-01
0.000000000000000000e+00,2.028646692633628845e-02,-2.851486206054687500e-03,5.368323922157287598e-01,2.122176438570022583e-01,6.490464210510253906e-01
0.000000000000000000e+00,1.322103664278984070e-03,2.312019467353820801e-02,5.535551309585571289e-01,3.061996698379516602e-01,9.143166542053222656e-01
0.000000000000000000e+00,-1.781092025339603424e-03,5.611866712570190430e-03,5.594597458839416504e-01,2.219455540180206299e-01,6.955079436302185059e-01
0.000000000000000000e+00,3.253826871514320374e-04,2.811378240585327148e-02,5.976580977439880371e-01,2.889040410518646240e-01,7.745010852813720703e-01
0.000000000000000000e+00,-7.603644393384456635e-03,1.264068484306335449e-02,5.205754637718200684e-01,2.452654987573623657e-01,7.363623380661010742e-01
0.000000000000000000e+00,-2.085819467902183533e-02,-2.453058958053588867e-03,4.079732000827789307e-01,1.324643641710281372e-01,5.601648092269897461e-01
0.000000000000000000e+00,4.458101093769073486e-02,2.335697412490844727e-03,5.746914744377136230e-01,2.368505299091339111e-01,7.152889966964721680e-01
0.000000000000000000e+00,-3.016593493521213531e-02,5.524685978889465332e-02,5.073195695877075195e-01,1.922144889831542969e-01,6.268811225891113281e-01
0.000000000000000000e+00,2.198412083089351654e-02,1.227447390556335449e-02,6.237012743949890137e-01,2.883296608924865723e-01,8.017110228538513184e-01
0.000000000000000000e+00,-2.334755100309848785e-02,1.765131950378417969e-03,4.649577736854553223e-01,2.298086583614349365e-01,7.941299676895141602e-01
0.000000000000000000e+00,3.954828903079032898e-02,1.031625270843505859e-02,6.643171310424804688e-01,3.162943720817565918e-01,7.811571359634399414e-01
0.000000000000000000e+00,-4.949152842164039612e-02,3.765597939491271973e-02,4.735655784606933594e-01,2.119995802640914917e-01,8.227227926254272461e-01
0.000000000000000000e+00,3.393982071429491043e-03,3.643602132797241211e-02,5.232036709785461426e-01,2.524773478507995605e-01,7.843183279037475586e-01
