label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,-7.703749835491180420e-02,4.897360503673553467e-02,3.687869906425476074e-01,1.713468730449676514e-01,8.762108087539672852e-01
0.000000000000000000e+00,-1.218679398298263550e-01,3.303971886634826660e-02,3.338043689727783203e-01,1.165303140878677368e-01,7.002155184745788574e-01
0.000000000000000000e+00,-1.195096373558044434e-01,3.108555078506469727e-02,4.178486168384552002e-01,1.608361601829528809e-01,8.124734163284301758e-01
0.000000000000000000e+00,-1.691662073135375977e-01,3.975974023342132568e-02,4.500639140605926514e-01,1.481683552265167236e-01,8.570997714996337891e-01
0.000000000000000000e+00,-1.236012876033782959e-01,3.197231888771057129e-02,3.571067452430725098e-01,1.118760257959365845e-01,6.000871062278747559e-01
0.000000000000000000e+00,-1.315403878688812256e-01,3.188303112983703613e-02,3.440793454647064209e-01,9.970399737358093262e-02,8.623937368392944336e-01
0.000000000000000000e+00,-9.046246856451034546e-02,3.014834225177764893e-02,2.522491216659545898e-01,6.701529771089553833e-02,5.373008251190185547e-01
0.000000000000000000e+00,-7.724720984697341919e-02,7.928803563117980957e-02,5.286639332771301270e-01,1.831891536712646484e-01,8.789662718772888184e-01
0.000000000000000000e+00,-1.082466766238212585e-01,7.972487807273864746e-02,5.023047924041748047e-01,2.096068263053894043e-01,8.426470160484313965e-01
0.000000000000000000e+00,-7.758952677249908447e-02,8.457672595977783203e-02,3.755838871002197266e-01,1.639096140861511230e-01,8.515676259994506836e-01
0.000000000000000000e+00,-1.082559898495674133e-01,5.881218612194061279e-02,3.553138971328735352e-01,1.540472805500030518e-01,8.615911006927490234e-01
0.000000000000000000e+00,-1.373197436332702637e-01,5.022163689136505127e-02,4.174651205539703369e-01,1.392846405506134033e-01,8.529638051986694336e-01
0.000000000000000000e+00,5.325370281934738159e-02,1.639711856842041016e-02,2.153572142124176025e-01,5.688162147998809814e-02,3.340960443019866943e-01
0.000000000000000000e+00,-4.557912424206733704e-02,4.485255479812622070e-02,3.696352541446685791e-01,1.431461721658706665e-01,6.530547142028808594e-01
0.000000000000000000e+00,-2.087217941880226135e-02,5.941739678382873535e-02,2.990176379680633545e-01,1.274727433919906616e-01,7.166465520858764648e-01
0.000000000000000000e+00,-1.196581125259399414e-01,5.415005981922149658e-02,3.881940245628356934e-01,1.555583029985427856e-01,8.795076012611389160e-01
0.000000000000000000e+00,-1.022491231560707092e-01,8.678898215293884277e-02,5.414628982543945312e-01,2.100888192653656006e-01,8.980827331542968750e-01
0.000000000000000000e+00,-1.603460013866424561e-01,7.157170772552490234e-02,4.245184063911437988e-01,1.777528226375579834e-01,8.788396716117858887e-01
0.000000000000000000e+00,-1.742112636566162109e-01,5.993977189064025879e-02,4.283215701580047607e-01,1.317302286624908447e-01,8.923454880714416504e-01
0.000000000000000000e+00,-7.365810126066207886e-02,7.979610562324523926e-02,4.762631952762603760e-01,2.218881547451019287e-01,8.951232433319091797e-01
0.000000000000000000e+00,-9.832395613193511963e-02,7.906818389892578125e-02,4.812447726726531982e-01,2.132981419563293457e-01,9.041129350662231445e-01
0.000000000000000000e+00,-1.274238824844360352e-01,6.287157535552978516e-02,4.479413032531738281e-01,1.741100847721099854e-01,8.910323381423950195e-01
0.000000000000000000e+00,-1.240967810153961182e-01,8.574095368385314941e-02,5.294881463050842285e-01,1.982111483812332153e-01,8.558611273765563965e-01
0.000000000000000000e+00,-7.976414263248443604e-02,3.437116742134094238e-02,4.657631516456604004e-01,1.525257378816604614e-01,8.452511429786682129e-01
0.000000000000000000e+00,-1.081082224845886230e-01,2.708315849304199219e-02,3.728549778461456299e-01,1.203377470374107361e-01,8.468534946441650391e-01
0.000000000000000000e+00,-1.063363552093505859e-01,7.451793551445007324e-02,4.076747894287109375e-01,2.025762200355529785e-01,8.478537797927856445e-01
0.000000000000000000e+00,-5.579172447323799133e-02,8.037319779396057129e-02,6.522344350814819336e-01,2.260657250881195068e-01,7.704548835754394531e-01
0.000000000000000000e+00,-1.184926107525825500e-01,6.377533078193664551e-02,5.462051630020141602e-01,1.832591444253921509e-01,8.609722852706909180e-01
0.000000000000000000e+00,-1.422584950923919678e-01,7.618676126003265381e-02,5.129778981208801270e-01,1.897807270288467407e-01,8.833343386650085449e-01
0.000000000000000000e+00,-6.016459316015243530e-02,7.827988266944885254e-02,5.687529444694519043e-01,1.867642998695373535e-01,8.130202293395996094e-01
0.000000000000000000e+00,-1.472743749618530273e-01,5.135831236839294434e-02,4.404583871364593506e-01,1.800017356872558594e-01,8.804727792739868164e-01
0.000000000000000000e+00,-4.227249324321746826e-02,5.847832560539245605e-02,4.165658950805664062e-01,1.635116189718246460e-01,7.555273771286010742e-01
0.000000000000000000e+00,-1.027515903115272522e-01,4.559233784675598145e-02,5.064992904663085938e-01,2.261412292718887329e-01,8.835619688034057617e-01
0.000000000000000000e+00,-1.247260421514511108e-01,8.400923013687133789e-02,5.695492029190063477e-01,1.956871449947357178e-01,8.763025403022766113e-01
0.000000000000000000e+00,-6.780292838811874390e-02,4.298532009124755859e-02,5.219745635986328125e-01,2.184974402189254761e-01,8.268125057220458984e-01
0.000000000000000000e+00,-1.372378766536712646e-01,3.610420227050781250e-02,3.732113242149353027e-01,1.516467481851577759e-01,8.305559158325195312e-01
0.000000000000000000e+00,-4.189781099557876587e-02,1.746962964534759521e-02,3.533450067043304443e-01,1.023401319980621338e-01,4.972554147243499756e-01
0.000000000000000000e+00,-1.118367761373519897e-01,6.332245469093322754e-02,4.903463125228881836e-01,1.968365460634231567e-01,9.072621464729309082e-01
0.000000000000000000e+00,-6.547182798385620117e-02,1.071841418743133545e-01,5.511084198951721191e-01,2.212421596050262451e-01,8.761181235313415527e-01
0.000000000000000000e+00,-1.280646026134490967e-01,9.751647710800170898e-02,6.442882418632507324e-01,2.137361466884613037e-01,8.592934012413024902e-01
0.000000000000000000e+00,-7.977826893329620361e-02,4.096730053424835205e-02,4.191816747188568115e-01,1.276597380638122559e-01,5.676517486572265625e-01
0.000000000000000000e+00,1.712466403841972351e-02,4.032503068447113037e-02,3.050865232944488525e-01,1.237429752945899963e-01,7.103288769721984863e-01
0.000000000000000000e+00,-1.443671286106109619e-01,2.327436208724975586e-02,3.302613496780395508e-01,7.866524159908294678e-02,7.481175661087036133e-01
0.000000000000000000e+00,-1.168349087238311768e-01,4.547047615051269531e-02,4.326177239418029785e-01,1.890393644571304321e-01,9.057818651199340820e-01
0.000000000000000000e+00,-1.497924178838729858e-01,3.619354963302612305e-02,3.804612159729003906e-01,1.023832485079765320e-01,4.676951467990875244e-01
