label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,4.533410817384719849e-02,-5.201235413551330566e-03,4.867893159389495850e-01,3.788609057664871216e-02,7.260974645614624023e-01
0.000000000000000000e+00,1.132143139839172363e-01,8.715987205505371094e-03,4.940791428089141846e-01,4.696406424045562744e-02,8.407547473907470703e-01
0.000000000000000000e+00,8.613128960132598877e-02,5.581527948379516602e-03,5.170249342918395996e-01,3.727721422910690308e-02,7.528413534164428711e-01
0.000000000000000000e+00,1.082980483770370483e-01,-7.260203361511230469e-03,5.475331544876098633e-01,3.021315857768058777e-02,6.843782067298889160e-01
0.000000000000000000e+00,1.026273369789123535e-01,2.460253238677978516e-02,5.537568926811218262e-01,5.001286417245864868e-02,8.975875377655029297e-01
0.000000000000000000e+00,6.383182108402252197e-02,-3.971338272094726562e-03,4.989043176174163818e-01,4.229352250695228577e-02,7.691090106964111328e-01
0.000000000000000000e+00,7.620173692703247070e-02,2.780084311962127686e-02,5.360301733016967773e-01,4.569663107395172119e-02,8.275468349456787109e-01
0.000000000000000000e+00,6.689333915710449219e-02,2.976030111312866211e-03,5.544651746749877930e-01,4.210577532649040222e-02,7.469022274017333984e-01
0.000000000000000000e+00,1.729746907949447632e-02,-5.433499813079833984e-03,3.948886990547180176e-01,2.515245042741298676e-02,5.925514698028564453e-01
0.000000000000000000e+00,7.251461595296859741e-02,-1.299023628234863281e-03,5.373024344444274902e-01,4.580416902899742126e-02,7.504483461380004883e-01
0.000000000000000000e+00,3.183560073375701904e-02,2.261257171630859375e-02,5.144301056861877441e-01,4.210959374904632568e-02,6.875199079513549805e-01
0.000000000000000000e+00,1.074168980121612549e-01,8.995413780212402344e-03,5.741949081420898438e-01,4.903205856680870056e-02,7.988908886909484863e-01
0.000000000000000000e+00,7.659605890512466431e-02,1.218062639236450195e-02,4.502680897712707520e-01,4.052240401506423950e-02,7.769939899444580078e-01
0.000000000000000000e+00,9.507831931114196777e-02,1.450002193450927734e-03,6.382419466972351074e-01,5.163769796490669250e-02,8.237758278846740723e-01
0.000000000000000000e+00,8.107696473598480225e-02,3.793966770172119141e-02,4.286786317825317383e-01,4.475754499435424805e-02,8.411139249801635742e-01
0.000000000000000000e+00,1.027960926294326782e-01,1.761834323406219482e-02,6.078345179557800293e-01,4.944735392928123474e-02,7.933088541030883789e-01
0.000000000000000000e+00,7.306792587041854858e-02,4.174679517745971680e-03,5.194144248962402344e-01,4.854072630405426025e-02,8.274785876274108887e-01
0.000000000000000000e+00,1.171670407056808472e-01,1.876950263977050781e-04,5.484381914138793945e-01,4.888274893164634705e-02,8.262329101562500000e-01
0.000000000000000000e+00,7.564887404441833496e-02,6.918221712112426758e-03,5.621339082717895508e-01,4.937979951500892639e-02,8.348648548126220703e-01
0.000000000000000000e+00,9.323161095380783081e-02,6.330579519271850586e-03,6.178558468818664551e-01,4.919294640421867371e-02,8.187507390975952148e-01
0.000000000000000000e+00,6.675475835800170898e-02,1.290220022201538086e-02,5.157133936882019043e-01,4.896676540374755859e-02,8.013161420822143555e-01
0.000000000000000000e+00,1.004541143774986267e-01,1.543846726417541504e-02,6.183096170425415039e-01,5.379455164074897766e-02,8.315591216087341309e-01
0.000000000000000000e+00,1.094591394066810608e-01,3.321734070777893066e-02,4.456298053264617920e-01,4.112973436713218689e-02,8.395490646362304688e-01
0.000000000000000000e+00,5.572858452796936035e-02,1.510787010192871094e-02,3.874677419662475586e-01,2.524114772677421570e-02,6.121994256973266602e-01
0.000000000000000000e+00,9.815214574337005615e-02,9.323954582214355469e-03,5.093528032302856445e-01,4.025785252451896667e-02,7.726208567619323730e-01
0.000000000000000000e+00,1.037435978651046753e-01,4.154504835605621338e-02,5.295544266700744629e-01,4.267302900552749634e-02,8.632144331932067871e-01
0.000000000000000000e+00,1.057614386081695557e-01,2.457192540168762207e-02,5.563094019889831543e-01,4.958038032054901123e-02,8.306628465652465820e-01
0.000000000000000000e+00,5.573530495166778564e-02,9.006440639495849609e-03,4.578131139278411865e-01,5.154291912913322449e-02,8.891185522079467773e-01
0.000000000000000000e+00,6.788413226604461670e-02,9.249389171600341797e-03,3.817824423313140869e-01,3.627129644155502319e-02,8.002502322196960449e-01
0.000000000000000000e+00,9.011860191822052002e-02,1.078972220420837402e-02,4.161792695522308350e-01,4.009167850017547607e-02,8.869562149047851562e-01
0.000000000000000000e+00,1.707802712917327881e-01,4.590559005737304688e-02,4.027096033096313477e-01,3.425730764865875244e-02,7.274330854415893555e-01
0.000000000000000000e+00,1.255570203065872192e-01,2.912834286689758301e-02,5.005258321762084961e-01,4.768140986561775208e-02,8.943698406219482422e-01
0.000000000000000000e+00,8.406794816255569458e-02,1.538413763046264648e-02,4.233748018741607666e-01,3.228219971060752869e-02,8.176299929618835449e-01
0.000000000000000000e+00,1.163388714194297791e-01,2.667650580406188965e-02,4.298638403415679932e-01,4.227938503026962280e-02,8.600234985351562500e-01
0.000000000000000000e+00,5.512828752398490906e-02,9.945005178451538086e-03,5.006883144378662109e-01,3.895204514265060425e-02,7.428360581398010254e-01
0.000000000000000000e+00,8.188124001026153564e-02,2.924469113349914551e-02,4.526047110557556152e-01,3.592008724808692932e-02,6.895341873168945312e-01
0.000000000000000000e+00,5.959631130099296570e-02,1.442316174507141113e-02,3.316891491413116455e-01,3.379032388329505920e-02,8.162322044372558594e-01
0.000000000000000000e+00,1.079607307910919189e-01,3.112244606018066406e-02,4.817693233489990234e-01,4.387699067592620850e-02,8.718640804290771484e-01
0.000000000000000000e+00,1.540843546390533447e-01,4.074747860431671143e-02,5.321360826492309570e-01,4.601486772298812866e-02,8.702822327613830566e-01
0.000000000000000000e+00,1.027376353740692139e-01,8.962631225585937500e-03,4.661985039710998535e-01,4.291786253452301025e-02,8.519751429557800293e-01
0.000000000000000000e+00,9.302717447280883789e-02,3.515595197677612305e-02,5.005329251289367676e-01,4.290827736258506775e-02,8.601666092872619629e-01
0.000000000000000000e+00,8.811597526073455811e-02,3.210207819938659668e-02,5.487298369407653809e-01,4.922713339328765869e-02,8.638752698898315430e-01
0.000000000000000000e+00,8.937783539295196533e-02,4.128341376781463623e-02,4.740627706050872803e-01,3.700235113501548767e-02,7.400328516960144043e-01
0.000000000000000000e+00,7.513368129730224609e-02,2.092155814170837402e-02,5.572379231452941895e-01,5.884694680571556091e-02,9.083118438720703125e-01
0.000000000000000000e+00,8.406715095043182373e-02,1.811459660530090332e-02,5.268387198448181152e-01,4.152888059616088867e-02,8.173037171363830566e-01
0.000000000000000000e+00,9.398801624774932861e-02,3.331042826175689697e-02,5.855274200439453125e-01,5.974002927541732788e-02,9.352114796638488770e-01
0.000000000000000000e+00,9.409384429454803467e-02,1.475816965103149414e-02,4.840790033340454102e-01,4.478413611650466919e-02,8.295613527297973633e-01
0.000000000000000000e+00,1.023475527763366699e-01,1.215676963329315186e-02,5.077391862869262695e-01,4.747437313199043274e-02,8.635634183883666992e-01
0.000000000000000000e+00,4.466903954744338989e-02,5.233228206634521484e-03,5.375180840492248535e-01,5.219561234116554260e-02,7.803554534912109375e-01
0.000000000000000000e+00,5.946778506040573120e-02,3.044709563255310059e-02,5.375171303749084473e-01,5.248438939452171326e-02,8.650137782096862793e-01
0.000000000000000000e+00,1.024285331368446350e-01,2.560755610466003418e-02,3.817460536956787109e-01,3.322451189160346985e-02,7.506604194641113281e-01
0.000000000000000000e+00,6.689919531345367432e-02,2.281031012535095215e-02,5.854321122169494629e-01,5.599438026547431946e-02,8.882547020912170410e-01
0.000000000000000000e+00,8.265029639005661011e-02,2.106823027133941650e-02,4.378597736358642578e-01,2.844613790512084961e-02,6.672856211662292480e-01
0.000000000000000000e+00,6.369365751743316650e-02,1.323683559894561768e-02,5.229976177215576172e-01,4.062474519014358521e-02,8.051964640617370605e-01
0.000000000000000000e+00,7.494045794010162354e-02,2.711454033851623535e-02,5.501259565353393555e-01,4.468361660838127136e-02,7.931568026542663574e-01
0.000000000000000000e+00,8.695617318153381348e-02,2.103325724601745605e-02,5.756222605705261230e-01,5.165427923202514648e-02,8.860138654708862305e-01
0.000000000000000000e+00,6.231617927551269531e-02,1.516991853713989258e-02,3.945535719394683838e-01,3.627626597881317139e-02,8.030185699462890625e-01
0.000000000000000000e+00,1.013202369213104248e-01,2.709367871284484863e-02,3.892408013343811035e-01,3.468250483274459839e-02,8.461742401123046875e-01
0.000000000000000000e+00,5.482374876737594604e-02,2.952502667903900146e-02,4.684281349182128906e-01,3.555914014577865601e-02,7.844524383544921875e-01
0.000000000000000000e+00,1.044674590229988098e-01,5.836084485054016113e-02,7.011509537696838379e-01,3.927072510123252869e-02,5.999069213867187500e-01
0.000000000000000000e+00,4.752427712082862854e-02,8.856713771820068359e-03,4.236052632331848145e-01,2.273260056972503662e-02,4.837531745433807373e-01
0.000000000000000000e+00,5.190872400999069214e-02,5.275011062622070312e-03,5.524761676788330078e-01,3.958331793546676636e-02,7.667685747146606445e-01
0.000000000000000000e+00,9.212401509284973145e-02,3.036932647228240967e-02,3.902041316032409668e-01,3.083935007452964783e-02,7.324511408805847168e-01
0.000000000000000000e+00,5.523584038019180298e-02,2.263361215591430664e-02,5.131456851959228516e-01,5.018685385584831238e-02,8.093825578689575195e-01
0.000000000000000000e+00,9.442018717527389526e-02,2.809280157089233398e-02,5.093140006065368652e-01,4.522430524230003357e-02,8.937461972236633301e-01
0.000000000000000000e+00,9.183678030967712402e-02,1.677677035331726074e-02,4.170840680599212646e-01,4.244440048933029175e-02,8.667709827423095703e-01
0.000000000000000000e+00,6.763231754302978516e-02,2.165983617305755615e-02,5.596448779106140137e-01,5.868920311331748962e-02,9.211994409561157227e-01
0.000000000000000000e+00,7.598793506622314453e-02,3.718081116676330566e-02,5.998753905296325684e-01,5.066264048218727112e-02,8.247369527816772461e-01
0.000000000000000000e+00,8.767887949943542480e-02,4.038015007972717285e-02,5.164403915405273438e-01,4.596861079335212708e-02,8.756890892982482910e-01
0.000000000000000000e+00,8.540520071983337402e-02,2.145361900329589844e-02,4.752743244171142578e-01,4.090532660484313965e-02,8.075228333473205566e-01
0.000000000000000000e+00,9.025605022907257080e-02,1.373147964477539062e-02,4.727919399738311768e-01,4.010311886668205261e-02,8.195503354072570801e-01
0.000000000000000000e+00,5.201495811343193054e-02,1.333855092525482178e-02,5.274159908294677734e-01,4.719615355134010315e-02,8.329437971115112305e-01
0.000000000000000000e+00,1.465696394443511963e-01,2.983137965202331543e-02,3.527580499649047852e-01,3.961742296814918518e-02,7.726325988769531250e-01
0.000000000000000000e+00,2.100335210561752319e-01,1.478731632232666016e-02,3.203414380550384521e-01,3.257555514574050903e-02,7.526880502700805664e-01
0.000000000000000000e+00,1.048914864659309387e-01,2.264878153800964355e-02,3.849458694458007812e-01,3.208617493510246277e-02,8.075699806213378906e-01
0.000000000000000000e+00,6.366316229104995728e-02,1.523812115192413330e-02,5.649768114089965820e-01,4.457036033272743225e-02,7.788541316986083984e-01
