label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.572514772415161133e-01,7.314354181289672852e-03,2.067307531833648682e-01,2.148167602717876434e-02,8.073571324348449707e-01
0.000000000000000000e+00,1.506251096725463867e-01,6.005883216857910156e-03,2.199540585279464722e-01,1.396741252392530441e-02,5.704958438873291016e-01
0.000000000000000000e+00,7.608187198638916016e-02,3.074795007705688477e-03,3.538481295108795166e-01,3.745289891958236694e-02,8.148857951164245605e-01
0.000000000000000000e+00,4.482119157910346985e-02,9.546279907226562500e-04,3.363462686538696289e-01,3.532855957746505737e-02,8.274294137954711914e-01
0.000000000000000000e+00,1.016045957803726196e-01,4.766464233398437500e-03,2.365538328886032104e-01,2.035474218428134918e-02,6.684166789054870605e-01
0.000000000000000000e+00,5.909994989633560181e-02,5.450397729873657227e-03,3.311645686626434326e-01,3.531638532876968384e-02,9.002382755279541016e-01
0.000000000000000000e+00,1.630339920520782471e-01,6.849646568298339844e-03,1.762630343437194824e-01,1.260777376592159271e-02,6.581834554672241211e-01
0.000000000000000000e+00,9.874923527240753174e-02,3.098788857460021973e-02,4.815184175968170166e-01,4.494769498705863953e-02,8.673843145370483398e-01
0.000000000000000000e+00,7.142527401447296143e-02,2.557727694511413574e-02,4.706748425960540771e-01,4.288286343216896057e-02,8.647907972335815430e-01
0.000000000000000000e+00,1.622226387262344360e-01,2.318832278251647949e-02,2.516246736049652100e-01,2.221169322729110718e-02,7.217344641685485840e-01
0.000000000000000000e+00,7.943699508905410767e-02,2.090939879417419434e-02,3.244819045066833496e-01,2.925738133490085602e-02,8.451113700866699219e-01
0.000000000000000000e+00,8.331292122602462769e-02,7.875680923461914062e-03,3.283569216728210449e-01,3.755811974406242371e-02,8.608249425888061523e-01
0.000000000000000000e+00,1.576332896947860718e-01,9.680330753326416016e-03,1.175875291228294373e-01,7.189624011516571045e-03,4.596632122993469238e-01
0.000000000000000000e+00,1.334066390991210938e-01,2.529868483543395996e-02,3.657020330429077148e-01,3.630783036351203918e-02,8.571236133575439453e-01
0.000000000000000000e+00,1.595882326364517212e-01,1.183649897575378418e-02,1.658901721239089966e-01,8.714682422578334808e-03,4.798686504364013672e-01
0.000000000000000000e+00,1.094801351428031921e-01,1.436501741409301758e-02,3.370169103145599365e-01,3.361933678388595581e-02,8.843596577644348145e-01
0.000000000000000000e+00,9.549872577190399170e-02,3.132736682891845703e-02,5.633236169815063477e-01,5.656542256474494934e-02,9.248003959655761719e-01
