label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,8.304309099912643433e-03,-3.988578915596008301e-03,5.187483429908752441e-01,3.170540928840637207e-02,7.303668260574340820e-01
0.000000000000000000e+00,7.132497429847717285e-02,1.800668239593505859e-02,5.065444111824035645e-01,3.660877048969268799e-02,8.537625074386596680e-01
0.000000000000000000e+00,9.551347792148590088e-02,3.111034631729125977e-03,5.255488157272338867e-01,3.050111047923564911e-02,7.416950464248657227e-01
0.000000000000000000e+00,1.177999824285507202e-01,-1.105517148971557617e-04,5.568270087242126465e-01,2.874105051159858704e-02,6.977571249008178711e-01
0.000000000000000000e+00,8.055254071950912476e-02,3.414550423622131348e-02,5.824959278106689453e-01,4.187244549393653870e-02,8.996931910514831543e-01
0.000000000000000000e+00,7.247753441333770752e-02,3.405272960662841797e-03,5.242930650711059570e-01,3.115321323275566101e-02,7.742097377777099609e-01
0.000000000000000000e+00,8.936967700719833374e-02,3.403005003929138184e-02,5.703408122062683105e-01,4.067429527640342712e-02,8.395885825157165527e-01
0.000000000000000000e+00,5.625052750110626221e-02,1.076515018939971924e-02,5.753492712974548340e-01,3.511073812842369080e-02,7.544612884521484375e-01
0.000000000000000000e+00,5.104567855596542358e-02,-3.365308046340942383e-03,4.155341684818267822e-01,2.183931879699230194e-02,5.931065678596496582e-01
0.000000000000000000e+00,6.557480245828628540e-02,5.612492561340332031e-03,5.607921481132507324e-01,3.314560651779174805e-02,7.450711131095886230e-01
0.000000000000000000e+00,3.290301933884620667e-02,2.697330713272094727e-02,5.230219364166259766e-01,3.302603960037231445e-02,6.913429498672485352e-01
0.000000000000000000e+00,9.772413969039916992e-02,2.348360419273376465e-02,5.855476856231689453e-01,4.092488810420036316e-02,8.082318305969238281e-01
0.000000000000000000e+00,7.395125180482864380e-02,1.704283058643341064e-02,5.031258463859558105e-01,3.317774087190628052e-02,8.099396228790283203e-01
0.000000000000000000e+00,9.914685785770416260e-02,1.057443022727966309e-02,6.535084843635559082e-01,4.386214911937713623e-02,8.215739727020263672e-01
0.000000000000000000e+00,1.881858706474304199e-02,4.018259048461914062e-02,4.717739224433898926e-01,3.797585889697074890e-02,8.260179162025451660e-01
0.000000000000000000e+00,9.929916262626647949e-02,2.870172262191772461e-02,6.474710702896118164e-01,4.386959597468376160e-02,7.977350354194641113e-01
0.000000000000000000e+00,5.212648212909698486e-02,1.007451117038726807e-02,5.331478118896484375e-01,3.972385823726654053e-02,8.417415618896484375e-01
0.000000000000000000e+00,6.159209087491035461e-02,2.092584967613220215e-03,5.799760222434997559e-01,4.229356348514556885e-02,8.295736312866210938e-01
