label,align,target_attract,delta_i_norm,delta_t_norm,consistency_to_mean
0.000000000000000000e+00,1.073244512081146240e-01,6.875485181808471680e-03,1.928354501724243164e-01,9.452861733734607697e-03,7.817119359970092773e-01
0.000000000000000000e+00,6.002124398946762085e-02,5.304843187332153320e-03,2.320981025695800781e-01,1.228832453489303589e-02,6.646542549133300781e-01
0.000000000000000000e+00,4.740410670638084412e-02,3.219664096832275391e-03,3.880748748779296875e-01,3.015292808413505554e-02,8.216283321380615234e-01
0.000000000000000000e+00,6.235181540250778198e-02,6.167471408843994141e-03,3.540883958339691162e-01,2.654859423637390137e-02,8.566377162933349609e-01
0.000000000000000000e+00,8.349660038948059082e-02,4.248261451721191406e-03,2.362976819276809692e-01,1.499356608837842941e-02,7.565487027168273926e-01
0.000000000000000000e+00,7.981298118829727173e-02,1.090320944786071777e-02,3.721980750560760498e-01,3.033932670950889587e-02,9.132990837097167969e-01
0.000000000000000000e+00,1.101881116628646851e-01,7.983028888702392578e-03,1.743967384099960327e-01,1.134267728775739670e-02,7.173373103141784668e-01
0.000000000000000000e+00,8.270037174224853516e-02,3.386467695236206055e-02,5.097419023513793945e-01,4.012750461697578430e-02,8.658567070960998535e-01
0.000000000000000000e+00,8.710198104381561279e-02,3.172397613525390625e-02,4.716761410236358643e-01,3.715950250625610352e-02,8.608593940734863281e-01
0.000000000000000000e+00,1.826580315828323364e-01,1.975134015083312988e-02,2.217329293489456177e-01,1.274003088474273682e-02,6.158627271652221680e-01
0.000000000000000000e+00,-3.518780693411827087e-03,2.484902739524841309e-02,3.385027050971984863e-01,2.296911180019378662e-02,8.377746343612670898e-01
0.000000000000000000e+00,7.039656490087509155e-02,9.966135025024414062e-03,3.711644411087036133e-01,3.153455629944801331e-02,8.708431720733642578e-01
0.000000000000000000e+00,9.973196685314178467e-02,7.979929447174072266e-03,1.079560965299606323e-01,4.650135058909654617e-03,3.973112106323242188e-01
0.000000000000000000e+00,4.064711183309555054e-02,2.791446447372436523e-02,4.124801456928253174e-01,3.356264531612396240e-02,8.606932163238525391e-01
0.000000000000000000e+00,1.441947221755981445e-01,1.853722333908081055e-02,1.932502835988998413e-01,9.200291708111763000e-03,5.971400737762451172e-01
0.000000000000000000e+00,8.595877885818481445e-02,1.635378599166870117e-02,3.436026275157928467e-01,2.549026720225811005e-02,8.798995614051818848e-01
0.000000000000000000e+00,8.111951500177383423e-02,4.237470030784606934e-02,5.887916088104248047e-01,4.707314074039459229e-02,9.224616885185241699e-01
0.000000000000000000e+00,5.723399668931961060e-02,3.134050965309143066e-02,4.396554231643676758e-01,3.415520116686820984e-02,8.967087864875793457e-01
0.000000000000000000e+00,9.136113524436950684e-02,2.134361863136291504e-02,4.410557150840759277e-01,3.487090021371841431e-02,9.130734205245971680e-01
0.000000000000000000e+00,8.088551461696624756e-02,3.764170408248901367e-02,5.373619198799133301e-01,4.359932616353034973e-02,9.113086462020874023e-01
0.000000000000000000e+00,1.215554401278495789e-01,2.732086181640625000e-02,5.454840660095214844e-01,4.072412475943565369e-02,9.017441272735595703e-01
0.000000000000000000e+00,6.709574162960052490e-02,3.239065408706665039e-02,4.280573427677154541e-01,3.315719217061996460e-02,8.899941444396972656e-01
0.000000000000000000e+00,9.617543220520019531e-02,4.017257690429687500e-02,5.513323545455932617e-01,4.141140729188919067e-02,9.011660218238830566e-01
0.000000000000000000e+00,3.906445950269699097e-02,1.629501581192016602e-02,4.529565274715423584e-01,3.792718425393104553e-02,8.782190084457397461e-01
0.000000000000000000e+00,9.335136413574218750e-02,8.005291223526000977e-03,3.253982067108154297e-01,2.784844674170017242e-02,8.744268417358398438e-01
0.000000000000000000e+00,1.148464083671569824e-01,2.527591586112976074e-02,3.181502819061279297e-01,2.300166897475719452e-02,8.067120313644409180e-01
0.000000000000000000e+00,1.140244305133819580e-03,3.285750746726989746e-02,6.813539862632751465e-01,5.756515264511108398e-02,7.831625938415527344e-01
0.000000000000000000e+00,1.127663552761077881e-01,2.080002427101135254e-02,5.420284867286682129e-01,4.209068790078163147e-02,8.895413279533386230e-01
0.000000000000000000e+00,1.006431579589843750e-01,3.244212269783020020e-02,5.058573484420776367e-01,3.608489781618118286e-02,8.873667716979980469e-01
0.000000000000000000e+00,4.854613170027732849e-02,4.252880811691284180e-02,5.862720012664794922e-01,4.716755449771881104e-02,8.341002464294433594e-01
0.000000000000000000e+00,6.106717139482498169e-02,1.211670041084289551e-02,4.085558354854583740e-01,3.463244438171386719e-02,9.185742139816284180e-01
0.000000000000000000e+00,4.307194054126739502e-02,3.184941411018371582e-02,5.134593844413757324e-01,3.991432860493659973e-02,8.618819713592529297e-01
0.000000000000000000e+00,7.743375003337860107e-02,1.141452789306640625e-02,4.510475695133209229e-01,3.769221529364585876e-02,8.985315561294555664e-01
0.000000000000000000e+00,8.515648543834686279e-02,1.988074183464050293e-02,5.904563069343566895e-01,4.847365617752075195e-02,9.036129713058471680e-01
0.000000000000000000e+00,1.929626986384391785e-02,1.272624731063842773e-02,5.081425905227661133e-01,4.649079963564872742e-02,8.764524459838867188e-01
0.000000000000000000e+00,-1.211522147059440613e-03,-1.274883747100830078e-03,4.312979876995086670e-01,3.503405302762985229e-02,8.127026557922363281e-01
0.000000000000000000e+00,1.628851890563964844e-01,1.200056076049804688e-02,2.615846097469329834e-01,1.407570950686931610e-02,5.331801772117614746e-01
0.000000000000000000e+00,7.165499031543731689e-02,2.508500218391418457e-02,4.833533465862274170e-01,3.816784173250198364e-02,9.150208830833435059e-01
0.000000000000000000e+00,4.596542567014694214e-02,5.111843347549438477e-02,6.370242834091186523e-01,5.081802979111671448e-02,8.811396956443786621e-01
0.000000000000000000e+00,7.730280607938766479e-02,5.306410789489746094e-02,6.449573636054992676e-01,5.116161704063415527e-02,8.886203169822692871e-01
0.000000000000000000e+00,9.279378503561019897e-02,2.308598160743713379e-02,3.636137843132019043e-01,2.585822343826293945e-02,8.059937953948974609e-01
0.000000000000000000e+00,1.157523915171623230e-01,2.925932407379150391e-02,3.516097962856292725e-01,2.526073716580867767e-02,7.892915010452270508e-01
0.000000000000000000e+00,6.179661490023136139e-03,6.326407194137573242e-03,3.889580368995666504e-01,2.649437263607978821e-02,7.323271036148071289e-01
0.000000000000000000e+00,9.382524341344833374e-02,8.187204599380493164e-03,4.296398758888244629e-01,3.441155329346656799e-02,9.113678336143493652e-01
0.000000000000000000e+00,1.258918642997741699e-02,1.433959603309631348e-02,3.785178661346435547e-01,2.406088076531887054e-02,7.134488224983215332e-01
0.000000000000000000e+00,-4.883322864770889282e-02,-6.302893161773681641e-03,4.260025918483734131e-01,3.366647660732269287e-02,7.239269018173217773e-01
0.000000000000000000e+00,1.129282638430595398e-01,2.683600783348083496e-02,4.307300150394439697e-01,2.908685244619846344e-02,8.538397550582885742e-01
0.000000000000000000e+00,3.958547115325927734e-02,3.782364726066589355e-02,6.626544594764709473e-01,5.289559066295623779e-02,8.544120788574218750e-01
0.000000000000000000e+00,4.090333357453346252e-02,4.072201251983642578e-02,5.825742483139038086e-01,4.456686228513717651e-02,8.225735425949096680e-01
0.000000000000000000e+00,3.284230455756187439e-02,2.575194835662841797e-02,4.499952793121337891e-01,3.599564358592033386e-02,8.241316080093383789e-01
0.000000000000000000e+00,-3.798009455204010010e-02,6.414771080017089844e-03,3.956810534000396729e-01,2.083594724535942078e-02,5.302255153656005859e-01
0.000000000000000000e+00,2.146705240011215210e-02,2.083477377891540527e-02,3.723041117191314697e-01,2.541670948266983032e-02,6.568673253059387207e-01
0.000000000000000000e+00,5.409487523138523102e-03,1.028239727020263672e-02,4.956251382827758789e-01,4.666573926806449890e-02,8.808395266532897949e-01
0.000000000000000000e+00,1.065080091357231140e-01,2.959606051445007324e-02,4.073075056076049805e-01,2.968568354845046997e-02,8.824664950370788574e-01
0.000000000000000000e+00,4.299817606806755066e-03,3.612548112869262695e-03,4.447798430919647217e-01,4.271303862333297729e-02,8.206100463867187500e-01
0.000000000000000000e+00,6.305272132158279419e-02,2.146404981613159180e-02,4.964893162250518799e-01,4.056120291352272034e-02,9.242509603500366211e-01
0.000000000000000000e+00,3.924103826284408569e-02,9.849011898040771484e-03,4.812116920948028564e-01,4.247478768229484558e-02,8.862391114234924316e-01
0.000000000000000000e+00,1.263935863971710205e-01,3.913646936416625977e-02,3.657836019992828369e-01,2.534213662147521973e-02,7.824120521545410156e-01
0.000000000000000000e+00,1.069995537400245667e-01,3.043079376220703125e-02,4.022307395935058594e-01,3.304397687315940857e-02,8.974704742431640625e-01
