method,ASR,target_margin_mean,target_logit_mean,total
original_backdoor,98.9374,9.519907,28.254317,1788
keep_mean,97.0917,8.178805,27.786537,1788
keep_pca1,30.9843,-1.393579,26.249869,1788
keep_pca3,58.0537,0.578352,27.231587,1788
keep_pca5,62.8076,0.969860,27.062788,1788
keep_pca10,67.8412,1.438855,26.727043,1788
keep_mean_pca1,98.7136,8.196090,27.741148,1788
keep_mean_pca3,98.8814,8.229512,27.766813,1788
keep_mean_pca5,98.7696,8.434481,27.882052,1788
keep_mean_pca10,98.9933,8.480971,27.919402,1788
keep_random1,4.8658,-4.980521,25.293598,1788
keep_random3,5.7606,-4.719301,25.416938,1788
keep_random5,4.3065,-5.188147,25.166405,1788
keep_random10,7.8300,-4.229534,25.349413,1788
