Dataset,Method,Seed,Preprocess,New Clean,New ASR,Log Path
caltech101,BadCLIP,1,none,94.20,92.10,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed1_badclip_none_test_unseen.run.log
caltech101,BadCLIP,1,color0.90,94.20,86.40,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed1_badclip_color0.90_test_unseen.run.log
caltech101,BadCLIP,1,blur0.5,94.40,90.10,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed1_badclip_blur0.5_test_unseen.run.log
caltech101,BadCLIP,1,jpeg70,93.70,0.00,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed1_badclip_jpeg70_test_unseen.run.log
caltech101,BadCLIP,1,resize0.95,94.50,19.70,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed1_badclip_resize0.95_test_unseen.run.log
caltech101,BadCLIP,2,none,88.80,95.70,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed2_badclip_none_test_unseen.run.log
caltech101,BadCLIP,2,color0.90,88.20,95.30,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed2_badclip_color0.90_test_unseen.run.log
caltech101,BadCLIP,2,blur0.5,89.60,95.30,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed2_badclip_blur0.5_test_unseen.run.log
caltech101,BadCLIP,2,jpeg70,88.30,0.30,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed2_badclip_jpeg70_test_unseen.run.log
caltech101,BadCLIP,2,resize0.95,89.60,28.20,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed2_badclip_resize0.95_test_unseen.run.log
caltech101,BadCLIP,3,none,90.30,91.70,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed3_badclip_none_test_unseen.run.log
caltech101,BadCLIP,3,color0.90,91.30,84.20,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed3_badclip_color0.90_test_unseen.run.log
caltech101,BadCLIP,3,blur0.5,90.50,93.10,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed3_badclip_blur0.5_test_unseen.run.log
caltech101,BadCLIP,3,jpeg70,89.80,1.30,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed3_badclip_jpeg70_test_unseen.run.log
caltech101,BadCLIP,3,resize0.95,91.20,42.60,analysis_notes/preprocess_robustness_3seeds_selected/caltech101_shot2_seed3_badclip_resize0.95_test_unseen.run.log
